element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Br,2,88.923,0.010,,1000,,,,,,,,,,,,,L7484,
Br,2,89.664,0.010,,500,,,,,,,,,,,,,L7484,
Br,4,89.7577,0.0010,89.7572+,250,,,16190.4,127602.1,4s2.4p2,1D,2,4s.4p3,3D,2,,,L1157,
Br,4,89.8863,0.0010,89.8850+,800,,,16190.4,127443.7,4s2.4p2,1D,2,4s.4p3,3D,1,,,L1157,
Br,2,90.599,0.010,,500,,,,,,,,,,,,,L7484,
Br,2,92.256,0.010,,300,,,,,,,,,,,,,L7484,
Br,2,94.897,0.010,,1000,,,,,,,,,,,,,L7484,
Br,3,94.90,0.10,,350,,,,,,,,,,,,,L7483,
Br,3,96.04,0.10,,400,,,,,,,,,,,,,L7483,
Br,3,98.49,0.10,,450,,,,,,,,,,,,,L7483,
Br,2,98.493,0.010,,500,,,,,,,,,,,,,L7484,
Br,2,101.210,0.010,,500,,,,,,,,,,,,,L7392,
Br,2,101.554,0.010,,1000,,,,,,,,,,,,,L7484,
Br,4,101.6346,0.0010,101.6412+,80,,,127443.7,225829.0,4s.4p3,3D,1,4s2.4p.5p,1D,2,,,L1157,
Br,2,103.702,0.010,,500,,,,,,,,,,,,,L7392,
Br,5,104.160,0.010,,600,,,,,,,,,,,,,L930,
Br,2,104.900,0.010,,1000,,,,,,,,,,,,,L7484,
Br,4,106.4325,0.0010,106.4327+,250,,,127443.7,221399.8,4s.4p3,3D,1,4s2.4p.5p,3P,2,,,L1157,
Br,2,106.476,0.010,,450,,,,,,,,,,,,,L7484,
Br,5,106.915,0.010,,1000,,,,,,,,,,,,,L930,
Br,2,107.187,0.010,,500,,,,,,,,,,,,,L7392,
Br,4,107.6587,0.0010,107.6589+,700,,,128513.8,221399.8,4s.4p3,3D,3,4s2.4p.5p,3P,2,,,L1157,
Br,5,108.054,0.010,,500,,,,,,,,,,,,,L930,
Br,4,108.8921,0.0010,108.8990+,150,,,128513.8,220342.0,4s.4p3,3D,3,4s2.4p.5p,3D,3,,,L1157,
Br,1,110.1498,0.0004,110.1498+,250,,,3685.24,94470.7,4s2.4p5,2P*,1/2,4s2.4p4.(1D<2>).6s,2[2],3/2,,,L351,
Br,5,111.213,0.010,,900,,,,,,,,,,,,,L930,
Br,4,112.3726,0.0010,112.3710+,25,,,127443.7,216434.6,4s.4p3,3D,1,4s2.4p.5p,3D,2,,,L1157,
Br,4,112.8545,0.0010,112.8620+,200,,,127443.7,216047.5,4s.4p3,3D,1,4s2.4p.5p,3D,1,,,L1157,
Br,1,113.4588,0.0007,113.46221+,300*,,,0.00,88135.07,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).7s,2[2],5/2,,,L351,
Br,1,113.4588,0.0007,113.45753+,300*,,,3685.24,91823.95,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).7d,2[0],1/2,,,L351,
Br,1,113.6294,0.0004,113.62900+,250,,,3685.24,91690.94,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).7d,2[1],1/2,,,L351,
Br,5,114.356,0.010,,1000,,,,,,,,,,,,,L930,
Br,1,117.7233,0.0004,117.72301+,250,,,0.00,84945.16,4s2.4p5,2P*,3/2,4s2.4p4.(3P<0>).4d,2[2],5/2,,,L351,
Br,1,117.8895,0.0004,117.88894+,400,6.e+06,E,0.00,84825.60,4s2.4p5,2P*,3/2,4s.4p6,2S,1/2,,T3187,L351,
Br,1,118.9279,0.0004,118.92767+,1000,,,3685.24,87769.96,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).5d,2[2],3/2,,,L351,
Br,1,118.9378,0.0004,118.93786+,250,,,0.00,84077.52,4s2.4p5,2P*,3/2,4s2.4p4.(3P<1>).4d,2[2],3/2,,,L351,
Br,1,118.9498,0.0004,118.95001+,1000,,,3685.24,87754.17,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).5d,2[0],1/2,,,L351,
Br,1,119.8371,0.0004,119.83739+,500,,,3685.24,87131.65,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).5d,2[1],3/2,,,L351,
