element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Rb,11,8.6434,0.0005,8.6434,30,8.e+07,,12360,1169316,3d9,2D,3/2,3d8.(1D).4p,2P*,1/2,,T7703,L6226,
Rb,11,8.6472,0.0005,8.6472,280,2.1e+08,,0,1156450,3d9,2D,5/2,3d8.(3F).4p,2F*,5/2,,T7703,L6226,
Rb,11,8.6494,0.0005,8.6494,120,8.2e+07,,0,1156150,3d9,2D,5/2,3d8.(3F).4p,2D*,3/2,,T7703,L6226,
Rb,11,8.6576,0.0005,8.6575,300,6.6e+08,,12360,1167430,3d9,2D,3/2,3d8.(1D).4p,2D*,3/2,,T7703,L6226,
Rb,11,8.6687,0.0005,8.6687,360,3.9e+08,,0,1153580,3d9,2D,5/2,3d8.(3P).4p,4P*,5/2,,T7703,L6226,
Rb,11,8.6831,0.0005,8.6831,40,2.2e+07,,0,1151660,3d9,2D,5/2,3d8.(3F).4p,2G*,7/2,,T7703,L6226,
Rb,13,8.6982,0.0005,8.6983,560,4.58e+09,,100951,1250600,3p6.3d7,2F,7/2,3p5.(2P*).3d8.(3P),2D*,5/2,,T7145,L9211,
Rb,11,8.7003,0.0005,8.7003,45,6.5e+07,,12360,1161750,3d9,2D,3/2,3d8.(1D).4p,2F*,5/2,,T7703,L6226,
Rb,11,8.7051,0.0005,8.7050,170,1.2e+08,,0,1148760,3d9,2D,5/2,3d8.(3F).4p,4F*,7/2,,T7703,L6226,
Rb,13,8.7106,0.0005,8.7105,970,5.43e+09,,53878,1201920,3p6.3d7,2G,7/2,3p5.(2P*).3d8.(3F),2F*,5/2,,T7145,L9211,
Rb,11,8.7199,0.0005,8.7198,140,1.9e+08,,0,1146810,3d9,2D,5/2,3d8.(3F).4p,4F*,5/2,,T7703,L6226,
Rb,11,8.7407,0.0005,8.7406,110,1.3e+08,,12360,1156450,3d9,2D,3/2,3d8.(3F).4p,2F*,5/2,,T7703,L6226,
Rb,11,8.7430,0.0005,8.7429,180,3.8e+08,,12360,1156150,3d9,2D,3/2,3d8.(3F).4p,2D*,3/2,,T7703,L6226,
Rb,13,8.7542,0.0005,8.7543,20,5.4e+07,,9634,1151927,3p6.3d7,4F,7/2,3p5.(2P*).3d8.(3F),2F*,7/2,,T7145,L9211,
Rb,13,8.7557,0.0005,8.7557,560,3.41e+09,,96011,1238120,3p6.3d7,2F,5/2,3p5.(2P*).3d8.(3P),2D*,3/2,,T7145,L9211,
Rb,12,8.7592,0.0005,8.7593,50,1.54e+10,,48070,1189720,3p6.3d8,3P,2,3p5.3d9,1P*,1,,T4558,L5979,
Rb,11,8.7685,0.0005,8.7685,370,4.1e+08,,0,1140450,3d9,2D,5/2,3d8.(3F).4p,2D*,5/2,,T7703,L6226,
Rb,13,8.7710,0.0005,8.7712,100,1.26e+08,,96011,1236110,3p6.3d7,2F,5/2,3p5.(2P*).3d8.(3F),2G*,7/2,,T7145,L9211,
Rb,11,8.7795,0.0005,8.7795,300,1.4e+08,,0,1139020,3d9,2D,5/2,3d8.(3F).4p,2F*,7/2,,T7703,L6226,
Rb,13,8.7795,0.0005,8.7794,2900bl,3.32e+09,,44846,1183880,3p6.3d7,2G,9/2,3p5.(2P*).3d8.(1G),2F*,7/2,,T7145,L9211,
Rb,13,8.7879,0.0005,8.7876,40,2.72e+08,,63947,1201920,3p6.3d7,2<2>D,5/2,3p5.(2P*).3d8.(3F),2F*,5/2,,T7145,L9211,
Rb,11,8.8149,0.0005,8.8148,60,6.7e+07,,12360,1146810,3d9,2D,3/2,3d8.(3F).4p,4F*,5/2,,T7703,L6226,
Rb,13,8.8190,0.0005,8.8192,20,2.5e+08,,15260,1149149,3p6.3d7,4F,5/2,3p5.(2P*).3d8.(1G),2F*,5/2,,T7145,L9211,
Rb,11,8.8359,0.0005,8.8360,25,1.2e+07,,0,1131740,3d9,2D,5/2,3d8.(3F).4p,4G*,5/2,,T7703,L6226,
Rb,12,8.8431,0.0005,8.8431,750,5.45e+10,,57680,1188510,3p6.3d8,1G,4,3p5.3d9,1F*,3,,T4558,L5979,
Rb,13,8.8495,0.0005,8.8495,80,3.72e+08,,53878,1183880,3p6.3d7,2G,7/2,3p5.(2P*).3d8.(1G),2F*,7/2,,T7145,L9211,
Rb,11,8.8647,0.0005,8.8645,10,3.3e+06,,12360,1140450,3d9,2D,3/2,3d8.(3F).4p,2D*,5/2,,T7703,L6226,
Rb,11,8.8890,0.0005,8.8889,80,2.5e+07,,12360,1137360,3d9,2D,3/2,3d8.(3F).4p,4D*,3/2,,T7703,L6226,
Rb,13,8.9052,0.0005,8.9052,240,9.02e+09,,148580,1271520,3p6.3d7,2<1>D,3/2,3p5.(2P*).3d8.(1S),2P*,1/2,,T7145,L9211,
Rb,13,8.9162,0.0005,8.9163,80,1.72e+08,,100951,1222490,3p6.3d7,2F,7/2,3p5.(2P*).3d8.(3F),2G*,9/2,,T7145,L9211,
Rb,11,8.9263,0.0005,8.9263,30,1.0e+08,,12360,1132650,3d9,2D,3/2,3d8.(3F).4p,4F*,3/2,,T7703,L6226,
Rb,11,8.9336,0.0005,8.9335,10,3.3e+06,,12360,1131740,3d9,2D,3/2,3d8.(3F).4p,4G*,5/2,,T7703,L6226,
Rb,13,8.9466,0.0005,8.9466,240,2.66e+09,,153630,1271370,3p6.3d7,2<1>D,5/2,3p5.(2P*).3d8.(3P),2P*,3/2,,T7145,L9211,
Rb,13,8.9823,0.0005,8.9818,380bl,9.69e+08,,70520,1183880,3p6.3d7,2H,9/2,3p5.(2P*).3d8.(1G),2F*,7/2,,T7145,L9211,
Rb,13,9.0172,0.0005,9.0172,50,7.6e+07,,42934,1151927,3p6.3d7,4P,5/2,3p5.(2P*).3d8.(3F),2F*,7/2,,T7145,L9211,
Rb,13,9.0329,0.0005,9.0328,720,1.87e+09,,44846,1151927,3p6.3d7,2G,9/2,3p5.(2P*).3d8.(3F),2F*,7/2,,T7145,L9211,
Rb,12,9.0386,0.0005,9.0386,200,1.41e+10,,10980,1117340,3p6.3d8,3F,3,3p5.3d9,3P*,2,,T4558,L5979,
Rb,12,9.0767,0.0005,9.0766,40,3.02e+09,,15610,1117340,3p6.3d8,3F,2,3p5.3d9,3P*,2,,T4558,L5979,
Rb,13,9.1161,0.0005,9.1160,70,6.73e+08,,153630,1250600,3p6.3d7,2<1>D,5/2,3p5.(2P*).3d8.(3P),2D*,5/2,,T7145,L9211,
Rb,13,9.1304,0.0005,9.1302,70,3.00e+08,,53878,1149149,3p6.3d7,2G,7/2,3p5.(2P*).3d8.(1G),2F*,5/2,,T7145,L9211,
