element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,430.3070,430.3071,8,,,252609.46,275842.14,2s2.2p2.(1D).3d,2G,7/2,2s2.2p2.(1D).4f G,2[4]*,7/2,,,L10621,
O,2,430.3609,430.36107,11,,,232753.816,255983.584,2s2.2p2.(3P).3d,4D,7/2,2s2.2p2.(3P).4f G,2[5]*,9/2,,,L6915,
O,2,430.3825,430.38231,15,,,232462.724,255691.346,2s2.2p2.(3P).3d,4P,5/2,2s2.2p2.(3P).4f D,2[3]*,7/2,,,L6915,
O,2,430.5390,430.53874,10,,,232535.949,255756.131,2s2.2p2.(3P).3d,4P,3/2,2s2.2p2.(3P).4f G,2[3]*,5/2,,,L10621,
O,2,430.5965,430.5965,4*,,,253046.74,276263.81,2s2.2p2.(1D).3d,2D,3/2,2s2.2p2.(1D).4f P,2[1]*,3/2,,,L10621,
O,2,430.5965,430.5965,4*,,,253046.74,276263.81,2s2.2p2.(1D).3d,2D,3/2,2s2.2p2.(1D).4f P,2[1]*,1/2,,,L10621,
O,2,430.6354,430.6350,5,,,253048.82,276263.81,2s2.2p2.(1D).3d,2D,5/2,2s2.2p2.(1D).4f P,2[1]*,3/2,,,L10621,
O,2,430.7233,430.72324,12,,,232602.492,255812.728,2s2.2p2.(3P).3d,4P,1/2,2s2.2p2.(3P).4f D,2[2]*,3/2,,,L6915,
O,2,430.8999,430.8998,11*,,,232711.642,255912.37,2s2.2p2.(3P).3d,4D,1/2,2s2.2p2.(3P).4f D,2[1]*,1/2,,,L10621,
O,2,430.8999,430.9007,11*,,,232711.642,255912.32,2s2.2p2.(3P).3d,4D,1/2,2s2.2p2.(3P).4f D,2[1]*,3/2,,,L10621,
O,2,431.2107,431.2111,11,,,232959.210,256143.187,2s2.2p2.(3P).3d,2F,7/2,2s2.2p2.(3P).4f F,2[4]*,7/2,,,L10621,
O,2,431.3442,431.34415,12,,,232959.210,256136.036,2s2.2p2.(3P).3d,2F,7/2,2s2.2p2.(3P).4f F,2[4]*,9/2,,,L10621,
O,2,431.5393,431.5385,8*,,,232745.981,255912.37,2s2.2p2.(3P).3d,4D,3/2,2s2.2p2.(3P).4f D,2[1]*,1/2,,,L10621,
O,2,431.5393,431.5394,8*,,,232745.981,255912.32,2s2.2p2.(3P).3d,4D,3/2,2s2.2p2.(3P).4f D,2[1]*,3/2,,,L10621,
O,2,431.5828,431.58260,7,,,232959.210,256123.231,2s2.2p2.(3P).3d,2F,7/2,2s2.2p2.(3P).4f F,2[3]*,7/2,,,L10621,
O,2,431.7138,431.7139,19,3.68e+07,B,185235.281,208392.258,2s2.2p2.(3P).3s,4P,1/2,2s2.2p2.(3P).3p,4P*,3/2,,"T6172,T6632","L10621,L3448",
O,2,431.7700,431.76958,11,,,232535.949,255689.939,2s2.2p2.(3P).3d,4P,3/2,2s2.2p2.(3P).4f D,2[3]*,5/2,,,L10621,
