element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ga,3,48.9200,0.0010,48.9202+,1,,,65169.40,269584,3d10.4p,2P*,1/2,3d9.(2D).4p2.(1D),2P,1/2,,,L12180,
Ga,3,49.2367,0.0010,49.2367+,3,,,66887.63,269988,3d10.4p,2P*,3/2,3d9.(2D).4p2.(3P),4D,5/2,,,L12180,
Ga,3,49.3355,0.0010,49.3349+,30,,,66887.63,269584,3d10.4p,2P*,3/2,3d9.(2D).4p2.(1D),2P,1/2,,,L12180,
Ga,3,49.5819,0.0010,49.5816+,22,,,65169.40,266857,3d10.4p,2P*,1/2,3d9.(2D).4p2.(1D),2P,3/2,,,L12180,
Ga,3,49.8400,0.0010,49.8401+,12,,,65169.40,265811,3d10.4p,2P*,1/2,3d9.(2D).4p2.(1D),2S,1/2,,,L12180,
Ga,3,50.0079,0.0010,50.008+,40,,,66887.63,266857,3d10.4p,2P*,3/2,3d9.(2D).4p2.(1D),2P,3/2,,,L12180,
Ga,3,50.2712,0.0010,50.271+,4,,,66887.63,265811,3d10.4p,2P*,3/2,3d9.(2D).4p2.(1D),2S,1/2,,,L12180,
Ga,3,50.5610,0.0010,50.56*,1,,,0.00,197780,3d10.4s,2S,1/2,3d9.(2D).4s.4p.(3P*),2D*,3/2,,,L12180,
Ga,3,50.7553,0.0010,50.7545+,2,,,0.00,197026.7,3d10.4s,2S,1/2,3d9.(2D).4s.4p.(3P*),4D*,1/2,,,L12180,
Ga,3,50.9364,0.0010,50.9361+,20,,,0.00,196324.6,3d10.4s,2S,1/2,3d10.6p,2P*,1/2,,,L12180,
Ga,3,51.1132,0.0010,51.113+,170,,,0.00,195644,3d10.4s,2S,1/2,3d9.(2D).4s.4p.(3P*),2P*,1/2,,,L12180,
Ga,3,51.2671,0.0010,51.2681+,1,,,0.00,195053.1,3d10.4s,2S,1/2,3d9.(2D).4s.4p.(3P*),4D*,3/2,,,L12180,
Ga,4,51.8832,0.0010,51.884+,7,,,224243.3,416982,3d9.4p,3P*,2,3d9.6s,"(3/2,1/2)",2,,,L12180,
Ga,4,51.9328,0.0010,51.934+,1,,,224243.3,416796,3d9.4p,3P*,2,3d9.6s,"(3/2,1/2)",1,,,L12180,
Ga,4,52.7252,0.0010,52.725+,30,,,227320.4,416982,3d9.4p,3P*,1,3d9.6s,"(3/2,1/2)",2,,,L12180,
Ga,4,52.7459,0.0010,52.746+,25,,,224243.3,413832,3d9.4p,3P*,2,3d9.5d,3F,3,,,L12180,
Ga,4,52.7766,0.0010,52.777+,18,,,227320.4,416796,3d9.4p,3P*,1,3d9.6s,"(3/2,1/2)",1,,,L12180,
Ga,4,52.7936,0.0010,52.793+,2,,,224243.3,413661,3d9.4p,3P*,2,3d9.6s,"(5/2,1/2)",2,,,L12180,
Ga,4,52.8277,0.0010,52.826+,20,,,227681.2,416982,3d9.4p,3F*,3,3d9.6s,"(3/2,1/2)",2,,,L12180,
Ga,4,52.9265,0.0010,52.926+,40,,,224243.3,413187,3d9.4p,3P*,2,3d9.6s,"(5/2,1/2)",3,,,L12180,
Ga,3,53.1087,0.0010,53.109+,30,,,0.00,188293,3d10.4s,2S,1/2,3d9.(2D).4s.4p.(3P*),4P*,1/2,,,L12180,
Ga,4,53.1919,0.0010,53.192+,1,,,224243.3,412243,3d9.4p,3P*,2,3d9.5d,3P,1,,,L12180,
