element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ho,2,349.309,,580c,,,,,,,,,,,,,L3475,
Ho,2,349.476,,2500c,,,,,,,,,,,,,L3475,
Ho,2,349.888,,810c,,,,,,,,,,,,,L3475,
Ho,2,350.695,,410c,,,,,,,,,,,,,L3475,
Ho,2,350.937,,320,,,,,,,,,,,,,L3475,
Ho,1,351.073,,810,,,,,,,,,,,,,L3475,
Ho,2,351.559,351.5557+,4100c,,,637.40,29074.26,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,,,6,,,L3475,
Ho,2,351.994,,410c,,,,,,,,,,,,,L3475,
Ho,2,354.076,,630,,,,,,,,,,,,,L3475,
Ho,2,354.605,,1600,,,,,,,,,,,,,L3475,
Ho,2,355.678,,1100c,,,,,,,,,,,,,L3475,
Ho,2,356.015,,410,,,,,,,,,,,,,L3475,
Ho,2,357.324,,410c,,,,,,,,,,,,,L3475,
Ho,2,357.480,,630c,,,,,,,,,,,,,L3475,
Ho,1,357.912,,810,,,,,,,,,,,,,L3475,
Ho,2,358.075,,410,,,,,,,,,,,,,L3475,
Ho,2,358.183,,410,,,,,,,,,,,,,L3475,
Ho,2,359.223,,630c,,,,,,,,,,,,,L3475,
Ho,2,359.877,,"1100c,w",,,,,,,,,,,,,L3475,
Ho,1,359.948,,340,,,,,,,,,,,,,L3475,
Ho,2,360.095,,540c,,,,,,,,,,,,,L3475,
Ho,2,361.331,,340,,,,,,,,,,,,,L3475,
Ho,1,361.843,,410,,,,,,,,,,,,,L3475,
Ho,2,362.669,,430c,,,,,,,,,,,,,L3475,
Ho,2,362.725,,490,,,,,,,,,,,,,L3475,
Ho,2,363.176,,430c,,,,,,,,,,,,,L3475,
Ho,2,363.830,,430c,,,,,,,,,,,,,L3475,
Ho,1,366.229,,1600c,,,,,,,,,,,,,L3475,
Ho,1,366.299,,430,,,,,,,,,,,,,L3475,
Ho,1,366.665,,720,,,,,,,,,,,,,L3475,
Ho,1,366.797,,1400,,,,,,,,,,,,,L3475,
Ho,2,366.905,,320,,,,,,,,,,,,,L3475,
Ho,1,366.952,,450,,,,,,,,,,,,,L3475,
Ho,2,367.477,,450c,,,,,,,,,,,,,L3475,
Ho,1,367.919,,720,,,,,,,,,,,,,L3475,
Ho,1,367.970,,670,,,,,,,,,,,,,L3475,
Ho,1,368.265,,720,,,,,,,,,,,,,L3475,
Ho,2,368.516,,430,,,,,,,,,,,,,L3475,
Ho,1,369.065,,580,,,,,,,,,,,,,L3475,
Ho,1,369.195,,340,,,,,,,,,,,,,L3475,
Ho,1,370.004,,410,,,,,,,,,,,,,L3475,
Ho,2,370.235,,490c,,,,,,,,,,,,,L3475,
Ho,1,370.976,,320,,,,,,,,,,,,,L3475,
Ho,1,371.288,,430,,,,,,,,,,,,,L3475,
Ho,1,372.072,,450,,,,,,,,,,,,,L3475,
Ho,1,373.140,,1100,,,,,,,,,,,,,L3475,
Ho,1,373.209,,360,,,,,,,,,,,,,L3475,
Ho,1,373.635,,810,,,,,,,,,,,,,L3475,
Ho,2,374.817,,"3200c,w",,,,,,,,,,,,,L3475,
Ho,2,375.373,,320c,,,,,,,,,,,,,L3475,
Ho,1,376.909,,340,,,,,,,,,,,,,L3475,
Ho,2,378.808,,320,,,,,,,,,,,,,L3475,
Ho,2,379.675,379.6748+,8900c,4.30e+07,,0.00,26330.85,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f11.(4I*<15/2>).6p<1/2>,"(15/2,1/2)",8,,T7227,L3475,
Ho,2,381.073,381.0738+,8900c,,,0.00,26234.19,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f11.(4I*<15/2>).6p<1/2>,"(15/2,1/2)",7,,,L3475,
Ho,1,381.186,,490,,,,,,,,,,,,,L3475,
Ho,2,381.325,,900c,,,,,,,,,,,,,L3475,
Ho,2,382.173,,300,,,,,,,,,,,,,L3475,
Ho,1,382.927,,390,,,,,,,,,,,,,L3475,
Ho,2,383.19,,"320c,w",,,,,,,,,,,,,L3475,
Ho,2,383.535,,410c,,,,,,,,,,,,,L3475,
Ho,2,383.751,,"1300c,w",,,,,,,,,,,,,L3475,
Ho,2,384.205,,410c,,,,,,,,,,,,,L3475,
Ho,2,384.386,,1100,,,,,,,,,,,,,L3475,
Ho,2,384.673,,490c,,,,,,,,,,,,,L3475,
Ho,1,384.988,,300,,,,,,,,,,,,,L3475,
Ho,2,385.240,,320,,,,,,,,,,,,,L3475,
Ho,2,385.407,,1800c,,,,,,,,,,,,,L3475,
Ho,2,385.694,,"390c,w",,,,,,,,,,,,,L3475,
Ho,2,385.772,,720,,,,,,,,,,,,,L3475,
Ho,2,386.168,,2700c,,,,,,,,,,,,,L3475,
Ho,1,386.262,,540,,,,,,,,,,,,,L3475,
Ho,2,387.205,,360,,,,,,,,,,,,,L3475,
Ho,2,387.409,,320c,,,,,,,,,,,,,L3475,
Ho,2,387.468,,630,,,,,,,,,,,,,L3475,
Ho,2,388.161,,540,,,,,,,,,,,,,L3475,
Ho,2,388.896,388.896+,3000c,,,5849.74,31556.3,4f11.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",6,4f11.(4I*<13/2>).6p<1/2>,"(13/2,1/2)",7,,,L3475,
Ho,1,389.042,,490,,,,,,,,,,,,,L3475,
