element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sc,5,167.6457,0.0010,167.6446,0.0010,5,,,390346.8,449996.8,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4S*,3/2,,,L6469,
Sc,2,167.8863,0.0010,167.8863,0.0010,1,,,27841.35,87405.48,3p6.3d.4p,3F*,4,3p6.3d.6d,3G,5,,,L5141,
Sc,3,167.9824,0.0010,167.9825,0.0010,5,6.3e+06,E,112257.62,171787.64,3p6.4d,2D,3/2,3p6.6f,2F*,5/2,,"T5297CA,LS",L1891,
Sc,3,168.1105,0.0010,168.1105,0.0010,7,6.9e+06,E,112302.95,171787.64,3p6.4d,2D,5/2,3p6.6f,2F*,7/2,,"T5297CA,LS",L1891,
Sc,4,168.7163,0.0010,168.7166,0.0010,6,,,381712.0,440983.0,3s2.3p5.4p,3P,2,3s2.3p5.4d,3P*,1,,,L2826,
Sc,2,169.1344,0.0010,169.1344,0.0010,2,,,30815.70,89940.27,3p6.3d.4p,1P*,1,3p6.4s.4d,1D,2,,,L5141,
Sc,5,170.7068,0.0010,170.7064,0.0010,1,,,386386.3,444966.4,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,4D*,5/2,,,L6469,
Sc,2,173.6404,0.0010,173.6404,0.0010,3,,,32349.98,89940.27,3p6.3d.4p,1F*,3,3p6.4s.4d,1D,2,,,L5141,
Sc,5,173.6720,0.0010,173.6726,0.0010,4,,,388860.6,446440.2,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,2D*,3/2,,,L6469,
Sc,2,173.7514,0.0010,173.7514,0.0010,2,,,10944.56,68498.06,3p6.3d2,1D,2,3p6.3d.5p,1P*,1,,,L5141,
Sc,3,174.2690,0.0010,174.2678,0.0010,2d,,,112302.95,169685.9,3p6.4d,2D,5/2,3p6.7p,2P*,3/2,,,L1891,
Sc,5,174.4732,0.0010,174.4729,0.0010,6,,,410043.4,467358.9,3s2.3p4.(1D).4s,2D,5/2,3s2.3p4.(1D).4p,2D*,5/2,,,L6469,
Sc,4,174.6233,0.0010,174.6237,0.0010,8,,,384661.3,441927.3,3s2.3p5.4p,1D,2,3s2.3p5.4d,3P*,2,,,L2826,
Sc,5,174.6917,0.0010,174.6923,0.0010,1,,,410115.4,467358.9,3s2.3p4.(1D).4s,2D,3/2,3s2.3p4.(1D).4p,2D*,5/2,,,L6469,
Sc,2,176.0590,0.0010,176.0589,0.0010,2,,,10944.56,67743.72,3p6.3d2,1D,2,3p6.3d.5p,1F*,3,,,L5141,
Sc,2,176.1751,0.0010,176.1751,0.0010,5,,,11736.36,68498.06,3p6.4s2,1S,0,3p6.3d.5p,1P*,1,,,L5141,
Sc,4,177.1103,0.0010,177.1103,0.0010,7,,,397510.7,453972.7,3s2.3p5.4p,1S,0,3s2.3p5.4d,1P*,1,,,L2826,
Sc,5,177.4203,0.0010,177.4198,0.0010,1,,,388860.6,445224.1,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4D*,1/2,,,L6469,
Sc,5,177.5355,0.0010,177.5329,0.0010,1,,,395491.8,451819.4,3s2.3p4.(3P).4s,2P,3/2,3s.3p5.(3P*).3d,2D*,5/2,,,L6469,
Sc,4,178.0469,0.0010,178.0462,0.0010,4,,,384817.8,440983.0,3s2.3p5.4p,3P,0,3s2.3p5.4d,3P*,1,,,L2826,
Sc,5,178.2342,0.0010,178.2347,0.0010,7,,,388860.6,444966.4,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4D*,5/2,,,L6469,
Sc,5,178.2752,0.0010,178.2741,0.0010,1,,,390346.8,446440.2,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,2D*,3/2,,,L6469,
Sc,5,178.6248,0.0010,178.6247,0.0010,4,,,388860.6,444843.9,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4D*,3/2,,,L6469,
Sc,4,180.4636,0.0010,180.4631,0.0010,3,,,385570.0,440983.0,3s2.3p5.4p,3P,1,3s2.3p5.4d,3P*,1,,,L2826,
Sc,2,181.0224,0.0010,181.0224,0.0010,1,,,12154.42,67396.19,3p6.3d2,3P,2,3p6.3d.5p,3P*,2,,,L5141,
Sc,2,181.4756,0.0010,181.4756,0.0010,3,,,10944.56,66048.39,3p6.3d2,1D,2,3p6.3d.5p,1D*,2,,,L5141,
Sc,5,181.5406,0.0010,181.5406,0.0010,1,,,388860.6,443944.7,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,2P*,3/2,,,L6469,
Sc,4,181.9910,0.0010,181.9906,0.0010,3,,,385570.0,440517.9,3s2.3p5.4p,3P,1,3s2.3p5.4d,3P*,0,,,L2826,
Sc,5,182.2243,0.0010,182.2247,0.0010,6,,,390346.8,445224.1,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4D*,1/2,,,L6469,
Sc,5,183.4960,0.0010,183.4960,0.0010,4,,,390346.8,444843.9,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4D*,3/2,,,L6469,
Sc,2,184.1145,0.0010,184.1145,0.0010,3,,,26081.34,80395.38,3p6.3d.4p,1D*,2,3p6.3d.5d,1D,2,,,L5141,
Sc,2,184.3062,0.0010,184.3062,0.0010,1,,,32349.98,86607.5,3p6.3d.4p,1F*,3,3p6.3d.7s,3D,2,,,L5141,
Sc,5,185.0620,0.0010,185.0618,0.0010,4,,,395491.8,449527.8,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(3P).4p,2S*,1/2,,,L6469,
Sc,5,186.5746,0.0010,186.5745,0.0010,2,,,390346.8,443944.7,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,2P*,3/2,,,L6469,
Sc,5,186.5912,0.0010,186.5905,0.0010,6,,,437498.0,491091.3,3s2.3p4.(1S).4s,2S,1/2,3s2.3p4.(1S).4p,2P*,1/2,,,L6469,
Sc,5,186.7407,0.0010,186.7410,0.0010,6,,,437498.0,491048.1,3s2.3p4.(1S).4s,2S,1/2,3s2.3p4.(1S).4p,2P*,3/2,,,L6469,
Sc,2,186.9774,0.0010,186.9774,0.0010,2,,,14261.32,67743.72,3p6.3d2,1G,4,3p6.3d.5p,1F*,3,,,L5141,
Sc,5,187.4859,0.0010,187.4846,0.0010,6,,,388860.6,442198.3,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,2D*,5/2,,,L6469,
Sc,2,188.0604,0.0010,188.0604,0.0010,8,5.0e+08,D,2540.95,55715.36,3p6.3d.4s,1D,2,3p6.4s.4p,1P*,1,,u2,L5141,
Sc,2,188.2442,0.0010,188.2443,0.0010,1,,,27917.78,81040.25,3p6.3d.4p,3D*,1,3p6.3d.5d,3P,1,,,L5141,
Sc,2,188.3861,0.0010,188.3861,0.0010,1,,,28021.29,81103.75,3p6.3d.4p,3D*,2,3p6.3d.5d,3P,2,,,L5141,
Sc,2,188.4520,0.0010,188.4512,0.0010,2,,,29742.16,82806.3,3p6.3d.4p,3P*,1,3p6.4s.4d,3D,2,,,L5141,
Sc,2,188.4759,0.0010,188.4760,0.0010,1,,,27917.78,80974.94,3p6.3d.4p,3D*,1,3p6.3d.5d,3P,0,,,L5141,
Sc,2,188.4814,0.0010,188.4818,0.0010,1,,,29736.27,82791.8,3p6.3d.4p,3P*,0,3p6.4s.4d,3D,1,,,L5141,
Sc,2,188.5032,0.0010,188.5027,0.0010,1,,,29742.16,82791.8,3p6.3d.4p,3P*,1,3p6.4s.4d,3D,1,,,L5141,
Sc,2,188.6118,0.0010,188.6118,0.0010,2,,,28021.29,81040.25,3p6.3d.4p,3D*,2,3p6.3d.5d,3P,1,,,L5141,
Sc,2,188.6641,0.0010,188.6637,0.0010,3,,,29823.93,82828.3,3p6.3d.4p,3P*,2,3p6.4s.4d,3D,3,,,L5141,
Sc,2,188.7438,0.0010,188.7420,0.0010,1,,,29823.93,82806.3,3p6.3d.4p,3P*,2,3p6.4s.4d,3D,2,,,L5141,
Sc,2,188.8839,0.0010,188.8839,0.0010,4bl,,,28161.17,81103.75,3p6.3d.4p,3D*,3,3p6.3d.5d,3P,2,,,L5141,
Sc,1,189.44920,0.00007,189.44918,0.00005,"1g,a",,,0.0000,52784.603,3d.4s2,2D,3/2,,*,3/2 or 5/2,,,L2110,
