element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Al,2,307.4691,307.4684,0.0010,750,9.02e+06,C,110089.83,142604.05,3s.3d,1D,2,3s.7f,1F*,3,,T6533,L4575,
Al,1,308.21529,308.21510,0.00010,24g,5.87e+07,B+,0.000,32435.453,3s2.3p,2P*,1/2,3s2.3d,2D,3/2,,"c40,T5653",L4737,
Al,1,308.702,308.6989,0.0010,5,,,44168.847,76553.47,3s2.5d,2D,5/2,3s.3p.(3P*).4d,2D*,5/2,,,L3514,
Al,2,308.8516,308.8518,0.0010,800,1.08e+07,B,106920.56,139289.15,3s.4p,1P*,1,3s.6d,1D,2,,T6533,L4575,
Al,1,308.982,308.9786,0.0010,1,,,44166.398,76521.7,3s2.5d,2D,3/2,3s.3p.(3P*).4d,2D*,3/2,,,L3514,
Al,1,309.27099,309.27084,0.00010,26g,7.29e+07,B+,112.061,32436.796,3s2.3p,2P*,3/2,3s2.3d,2D,5/2,,"c40,T7070",L4737,
Al,1,309.28386,309.28369,0.00010,20g,1.16e+07,B,112.061,32435.453,3s2.3p,2P*,3/2,3s2.3d,2D,3/2,,c40,L4737,
Al,2,313.5848,313.5850,0.0010,75,,,106920.56,138800.60,3s.4p,1P*,1,3s.7s,1S,0,,,L4575,
Al,3,318.0111,318.0100,0.0010,3d,1.04e+07,A,178433.43,209869.89,2p6.5p,2P*,1/2,2p6.8s,2S,1/2,,c32,L277,
Al,3,318.3824,318.3836,0.0010,4d,2.08e+07,A,178470.32,209869.89,2p6.5p,2P*,3/2,2p6.8s,2S,1/2,,c32,L277,
Al,2,319.1529,319.1531,0.0010,2,,,111637.33,142961.20,3p2,1S,0,3s.8p,1P*,1,,,L4575,
Al,1,320.339,320.3394,0.0010,4,,,45345.594,76553.47,3s2.6d,2D,5/2,3s.3p.(3P*).4d,2D*,5/2,,,L3514,
Al,4,320.820,320.815,0.010,500,,,821408.9,852570.5,2s2.2p5.(2P*<3/2>).4p,2[1/2],1,2s2.2p5.(2P*<3/2>).4d,2[3/2]*,2,,,L2829,
Al,4,321.413,321.414,0.010,10,,,825739.6,856843.1,2s2.2p5.(2P*<3/2>).4p,2[3/2],2,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,2,,,L2829,
Al,4,324.1343,324.134,0.010,20,,,827799.5,858642.0,2s2.2p5.(2P*<3/2>).4p,2[1/2],0,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,1,,,L2829,
Al,1,324.159,324.1605,0.0010,3,,,42237.783,73077.8,3s2.4d,2D,5/2,3s.3p.(3P*).3d,2F*,7/2,,,L3514,
Al,4,324.6143,324.612,0.010,100,,,827844.9,858642.0,2s2.2p5.(2P*<1/2>).4p,2[3/2],1,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,1,,,L2829,
Al,1,325.160,325.1607,0.0010,2,,,42233.742,72978.9,3s2.4d,2D,3/2,3s.3p.(3P*).3d,2F*,5/2,,,L3514,
Al,4,325.3426,325.342,0.010,15,,,824544.7,855272.7,2s2.2p5.(2P*<3/2>).4p,2[5/2],2,2s2.2p5.(2P*<3/2>).4d,2[3/2]*,1,,,L2829,
Al,4,326.7213,326.718,0.010,500,,,821408.9,852007.5,2s2.2p5.(2P*<3/2>).4p,2[1/2],1,2s2.2p5.(2P*<3/2>).4d,2[1/2]*,1,,,L2829,
Al,2,327.5767,327.5766,0.0010,80,7.41e+06,C+,95350.60,125869.015,3s.4s,1S,0,3s.5p,1P*,1,,T6533,L4575,
Al,1,328.220,328.2139,0.0010,3,,,46094.312,76553.47,3s2.7d,2D,5/2,3s.3p.(3P*).4d,2D*,5/2,,,L3514,
Al,3,328.3316,328.3299,0.0010,2d,1.99e+06,B+,178433.43,208881.83,2p6.5p,2P*,1/2,2p6.7d,2D,3/2,,c32,L277,
Al,4,328.513,328.511,0.010,600,,,806234.9,836666.5,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,1,2s2.2p5.(2P*<1/2>).4p,2[1/2],0,,,L2829,
Al,3,328.7302,328.7282,0.0010,3d,2.29e+06,A,178470.32,208881.83,2p6.5p,2P*,3/2,2p6.7d,2D,5/2,,c32,L277,
Al,4,329.7943,329.794,0.010,150,,,821408.9,851722.1,2s2.2p5.(2P*<3/2>).4p,2[1/2],1,2s2.2p5.(2P*<3/2>).4d,2[1/2]*,0,,,L2829,
Al,2,331.3344,331.3346,0.0010,80,1.33e+06,C,95549.42,125721.703,3s.3d,3D,3,3s.5p,3P*,2,,"T6298c4,LS",L3515,
Al,2,331.3470,331.3466,0.0010,2,2.37e+05,D,95550.51,125721.703,3s.3d,3D,2,3s.5p,3P*,2,,"T6298c4,LS",L3515,
Al,2,331.4756,331.4761,0.0010,2,,,95549.42,125708.828,3s.3d,3D,3,3s.5p,3P*,1,,,L3515,
