element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ac,2,341.3840,0.0006,341.38437,0.00021,100000,1.15e+08,C+,9087.517,38371.612,6d.7s,1D,2,6d.7p,3P*,2,,T10463,L7344,
Ac,1,341.6271,0.0004,341.627590,0.000021,390,1.9e+07,D,2231.432,31494.679,6d.7s2,2D,5/2,6d2.(3F).7p,4F*,5/2,,T10463,L7344,
Ac,2,341.7771,0.0006,341.7780,0.0004,190000,1.11e+08,C+,0.00,29250.366,7s2,1S,0,6d.7p,1P*,1,,T10463,L7344,
Ac,2,343.9250,0.0013,,,1900,,,,,,,,,,,,,L7344,
Ac,2,344.0400,0.0006,344.0401,0.0005,4800,5.2e+07,C+,22199.428,51257.48,6d2,1D,2,5f.6d,3P*,2,,T10463,L7344,
Ac,1,344.6250,0.0013,344.62496,0.00015,640,3.6e+07,C,2231.432,31240.17,6d.7s2,2D,5/2,5f.7s2,2F*,7/2,,T10463,L7344,
Ac,2,346.0770,0.0013,346.0759,0.0005,9000,1.00e+08,C+,26446.928,55334.05,6d.7p,3F*,2,5f.7p,3F,2,,T10463,L7344,
Ac,2,348.1161,0.0006,348.11641,0.00021,230000c,1.31e+08,C+,7426.489,36144.291,6d.7s,3D,3,5f.7s,3F*,3,,T10463,L7344,
Ac,2,348.1560,0.0006,348.1570,0.0004,2100,2.69e+07,C+,31174.565,59889.02,5f.7s,1F*,3,5f.7p,3F,4,,T10463,L7344,
Ac,2,348.3249,0.0006,348.32503,0.00024,3500,,,13236.418,41937.021,6d2,3F,2,6d.7p,1F*,3,,,L7344,
Ac,3,348.7590,0.0013,348.7588,0.0011,99000,1.58e+08,A,800.97,29465.88,6d,2D,3/2,7p,2P*,1/2,,"T9249,T8388",L7344,
Ac,2,348.9531,0.0006,348.9534,0.0003,99000,8.2e+07,C+,4739.631,33388.554,6d.7s,3D,1,6d.7p,3D*,1,,T10463,L7344,
Ac,2,349.1470,0.0006,349.1480,0.0004,640h,,,31174.565,59807.52,5f.7s,1F*,3,6d.7d,1F,3,,,L7344,
Ac,2,349.9750,0.0006,349.97491,0.00025,3600,,,4739.631,33304.935,6d.7s,3D,1,6d.7p,3D*,2,,,L7344,
Ac,1,350.6250,0.0013,,,130,,,,,,,,,,,,,L7344,
Ac,2,351.3730,0.0013,351.3730,0.0014,6400hl,1.49e+08,C+,32965.512,61417.16?,5f.7s,3F*,4,6d.7d,3G,5,,T10463,L7344,
Ac,2,351.6970,0.0013,,,3100hl,,,,,,,,,,,,,L7344,
Ac,2,352.7310,0.0006,352.73065,0.00025,31000,4.63e+07,C+,13236.418,41578.56,6d2,3F,2,5f.6d,3F*,2,,T10463,L7344,
Ac,2,352.9239,0.0006,352.9239,0.0003,32000,5.6e+07,C+,14949.173,43275.794,6d2,3F,3,5f.6d,3F*,3,,T10463,L7344,
Ac,2,353.2140,0.0006,353.2142,0.0005,2200,2.5e+06,E,20848.198,49151.54,6d2,1G,4,5f.6d,3G*,5,,T10463,L7344,
