element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Er,2,308.402,,610,,,,,,,,,,,,,L3475,
Er,2,309.919,,370,,,,,,,,,,,,,L3475,
Er,3,310.040,,500,,,,,,,,,,,,,L1925,
Er,2,310.678,,230,,,,,,,,,,,,,L3475,
Er,2,311.343,,310bl,,,,,,,,,,,,,L3475,
Er,2,312.272,,770,,,,,,,,,,,,,L3475,
Er,2,313.252,,290,,,,,,,,,,,,,L3475,
Er,2,313.277,,470,,,,,,,,,,,,,L3475,
Er,2,314.110,,410,,,,,,,,,,,,,L3475,
Er,2,314.433,,250,,,,,,,,,,,,,L3475,
Er,2,315.429,,410,,,,,,,,,,,,,L3475,
Er,3,316.625,,1500,,,,,,,,,,,,,L1925,
Er,3,317.247,,3,,,,,,,,,,,,,L1925,
Er,3,317.345,,1,,,,,,,,,,,,,L1925,
Er,3,317.574,,50,,,,,,,,,,,,,L1925,
Er,2,318.192,,870,,,,,,,,,,,,,L3475,
Er,2,318.342,,410,,,,,,,,,,,,,L3475,
Er,2,318.525,,250,,,,,,,,,,,,,L3475,
Er,2,320.058,,310,,,,,,,,,,,,,L3475,
Er,2,320.515,,230,,,,,,,,,,,,,L3475,
Er,2,321.444,,270,,,,,,,,,,,,,L3475,
Er,3,321.495,,400,,,,,,,,,,,,,L1925,
Er,2,322.073,,870,,,,,,,,,,,,,L3475,
Er,2,322.331,,610,,,,,,,,,,,,,L3475,
Er,2,322.716,,210,,,,,,,,,,,,,L3475,
Er,2,323.058,323.05829+,2300,1.5e+08,,440.434,31385.667,4f12.(3H<6>).6s<1/2>,"(6,1/2)",11/2,,*,11/2,,T6288,L3475,
Er,2,323.203,,250,,,,,,,,,,,,,L3475,
Er,2,323.798,,330,,,,,,,,,,,,,L3475,
Er,2,324.934,,330,,,,,,,,,,,,,L3475,
Er,2,325.905,,560,,,,,,,,,,,,,L3475,
Er,2,326.478,326.47805+,2700,5.8e+07,,0.000,30621.102,4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,4f12.(3H<6>).6p<3/2>?,"(6,3/2)*?",13/2,,T6288,L3475,
Er,2,326.710,,430,,,,,,,,,,,,,L3475,
Er,2,326.941,,330,,,,,,,,,,,,,L3475,
Er,2,327.822,,250,,,,,,,,,,,,,L3475,
