element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,8,6.0796,0.0005,6.07988,0.00010,1100*,2.02e+10,A,0.0,[1644768],1s2.2s,2S,1/2,1s2.5p,2P*,3/2,,T7495,L9090,
Ne,8,6.0796,0.0005,6.08027,0.00009,1100*,2.03e+10,A,0.0,[1644664],1s2.2s,2S,1/2,1s2.5p,2P*,1/2,,T7495,L9090,
Ne,8,6.148,0.003,6.144,0.003,340*,,,7225645,8853300?,1s.2s.2p,4P*,1/2,1s.2p.(3P*).4p,4P,,,,L9090,
Ne,8,6.148,0.003,6.145,0.003,340*,,,7226091,8853300?,1s.2s.2p,4P*,3/2,1s.2p.(3P*).4p,4P,,,,L9090,
Ne,8,6.148,0.003,6.150,0.003,340*,,,7227183,8853300?,1s.2s.2p,4P*,5/2,1s.2p.(3P*).4p,4P,,,,L9090,
Ne,8,6.173,0.003,6.1720,0.0030,350*,,,7225645,8845860,1s.2s.2p,4P*,1/2,1s.2p.(3P*).4p,4D,,,,L9090,
Ne,8,6.173,0.003,6.1737,0.0011,350*,,,7226091,8845860,1s.2s.2p,4P*,3/2,1s.2p.(3P*).4p,4D,,,,L9090,
Ne,8,6.173,0.003,6.1779,0.0011,350*,,,7227183,8845860,1s.2s.2p,4P*,5/2,1s.2p.(3P*).4p,4D,,,,L9090,
Ne,8,6.2297,0.0005,6.23025,0.00008,400,1.91e+10,A,128151.9,[1733224],1s2.2p,2P*,1/2,1s2.6d,2D,3/2,,T7495,L9090,
Ne,8,6.2361,0.0005,6.23659,0.00008,600*,2.29e+10,A,129801.2,[1733242],1s2.2p,2P*,3/2,1s2.6d,2D,5/2,,T7495,L9090,
Ne,8,6.2361,0.0005,6.23666,0.00008,600*,3.81e+09,A,129801.2,[1733224],1s2.2p,2P*,3/2,1s2.6d,2D,3/2,,T7495,L9090,
Ne,8,6.258,0.002,6.25224,0.00008,330*,1.70e+09,A,128151.9,[1727579],1s2.2p,2P*,1/2,1s2.6s,2S,1/2,,T7495,L9090,
Ne,8,6.258,0.002,6.25869,0.00008,330*,3.42e+09,A,129801.2,[1727579],1s2.2p,2P*,3/2,1s2.6s,2S,1/2,,T7495,L9090,
Ne,8,6.442,0.003,6.4382,0.0030,430*,,,7225645,8778880,1s.2s.2p,4P*,1/2,1s.2s.(3S).4d,4D,,,,L9090,
Ne,8,6.442,0.003,6.4400,0.0030,430*,,,7226091,8778880,1s.2s.2p,4P*,3/2,1s.2s.(3S).4d,4D,,,,L9090,
Ne,8,6.442,0.003,6.4446,0.0012,430*,,,7227183,8778880,1s.2s.2p,4P*,5/2,1s.2s.(3S).4d,4D,,,,L9090,
Ne,7,6.509,0.003,6.509,0.005,300*,,,112702.4,1649000,1s2.2s.2p,3P*,2,1s2.2p.6p,3P,,,,L9089,
Ne,7,6.509,0.003,6.509,0.004,300*,,,112702.4,1649000,1s2.2s.2p,3P*,2,1s2.2p.6p,3S,1,,,L9089,
Ne,7,6.516,0.003,6.513,0.003,260*,,,111708.0,1647000,1s2.2s.2p,3P*,1,1s2.2p.6p,3D,,,,L9089,
Ne,7,6.516,0.003,6.518,0.003,260*,,,112702.4,1647000,1s2.2s.2p,3P*,2,1s2.2p.6p,3D,,,,L9089,
Ne,8,6.544,0.002,6.5400,0.0020,370bl*,,,7225645,8754700?,1s.2s.2p,4P*,1/2,1s.2s.(3S).4s,4S,3/2,,,L9090,
Ne,8,6.544,0.002,6.5419,0.0020,370bl*,,,7226091,8754700?,1s.2s.2p,4P*,3/2,1s.2s.(3S).4s,4S,3/2,,,L9090,
Ne,8,6.544,0.002,6.5466,0.0020,370bl*,,,7227183,8754700?,1s.2s.2p,4P*,5/2,1s.2s.(3S).4s,4S,3/2,,,L9090,
Ne,8,6.5822,0.0005,6.58265,0.00011,1000,3.49e+10,A,128151.9,[1647298],1s2.2p,2P*,1/2,1s2.5d,2D,3/2,,T7495,L9090,
Ne,8,6.5895,0.0005,6.58966,0.00011,1300*,4.17e+10,A,129801.2,[1647330],1s2.2p,2P*,3/2,1s2.5d,2D,5/2,,T7495,L9090,
Ne,8,6.5895,0.0005,6.58980,0.00010,1300*,6.95e+09,A,129801.2,[1647298],1s2.2p,2P*,3/2,1s2.5d,2D,3/2,,T7495,L9090,
Ne,8,6.6259,0.0010,6.62555,0.00010,500,3.02e+09,A,128151.9,[1637460],1s2.2p,2P*,1/2,1s2.5s,2S,1/2,,T7495,L9090,
Ne,8,6.6330,0.0010,6.63280,0.00010,600,6.08e+09,A,129801.2,[1637460],1s2.2p,2P*,3/2,1s2.5s,2S,1/2,,T7495,L9090,
Ne,8,6.666,0.002,6.6603,0.0020,600*,,,7363159,8864600,1s.2p2,4P,1/2,1s.2p.(3P*).4d,4P*,,,,L9090,
Ne,8,6.666,0.002,6.6636,0.0020,600*,,,7363903,8864600,1s.2p2,4P,3/2,1s.2p.(3P*).4d,4P*,,,,L9090,
Ne,8,6.666,0.002,6.6674,0.0020,600*,,,7364768,8864600,1s.2p2,4P,5/2,1s.2p.(3P*).4d,4P*,,,,L9090,
