element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Si,1,220.798,220.7978,110,2.62e+07,B,0.000,45276.188,3s2.3p2,3P,0,3s.3p3,3D*,1,,T5814,L3521,
Si,1,221.089,221.0892,115,3.46e+07,B,77.115,45293.629,3s2.3p2,3P,1,3s.3p3,3D*,2,,T5814,L3521,
Si,1,221.174,221.1745,110,1.81e+07,B,77.115,45276.188,3s2.3p2,3P,1,3s.3p3,3D*,1,,T5814,L3521,
Si,1,221.667,221.6669,120,4.54e+07,B,223.157,45321.848,3s2.3p2,3P,2,3s.3p3,3D*,3,,T5814,L3521,
Si,1,221.806,221.8057,120,1.09e+07,B,223.157,45293.629,3s2.3p2,3P,2,3s.3p3,3D*,2,,T5814,L3521,
Si,1,221.891,221.8916,50,1.05e+06,C+,223.157,45276.188,3s2.3p2,3P,2,3s.3p3,3D*,1,,T5814,L3521,
Si,4,228.704,228.7050,5w*,6.41e+08,A,250008.02,293718.99,2p6.4d,2D,5/2,2p6.5f,2F*,7/2,,c33,L6098,
Si,4,228.704,228.7050,5w*,4.27e+07,A,250008.02,293718.99,2p6.4d,2D,5/2,2p6.5f,2F*,5/2,,c33,L6098,
Si,4,228.704,228.7056,5w*,5.98e+08,A,250008.14,293718.99,2p6.4d,2D,3/2,2p6.5f,2F*,5/2,,c33,L6098,
Si,1,229.103,,35,,,,,,,,,,,,,L3521,
Si,3,229.548,229.5477,6,6.69e+07,C+,198923.15,242473.66,3p.3d,3F*,2,3s.6g,3G,3,,"T6298c4,LS",L4833,
Si,3,229.687,,10,,,,,,,,,,,,,L4833,
Si,3,230.093,230.0937,8,5.80e+06,C,199026.49,242473.66,3p.3d,3F*,3,3s.6g,3G,3,,"T6298c4,LS",L4833,
Si,1,230.306,230.3058,55,3.48e+08,C+,15394.370,58801.529,3s2.3p2,1S,0,3s2.3p.4d,1P*,1,,T5071,L3521,
Si,3,230.819,230.8188,10,7.16e+07,B,199164.10,242474.81,3p.3d,3F*,4,3s.6g,3G,5,,"T6298c4,LS",L4833,
Si,4,232.856,,2w,,,,,,,,,,,,,L6098,
Si,2,233.440,233.4407,30,5.51e+03,D+,0.00,42824.29,3s2.3p,2P*,1/2,3s.3p2,4P,1/2,,"c22,T6215,T5958",L3541,
Si,2,233.461,233.4605,30,2.44e+03,D+,287.24,43107.91,3s2.3p,2P*,3/2,3s.3p2,4P,5/2,,"c22,T6215,T5958",L3541,
Si,2,234.420,234.4202,10,1.31e+03,D,287.24,42932.62,3s2.3p,2P*,3/2,3s.3p2,4P,3/2,,"c22,T6215,T5958",L3541,
Si,2,234.954,,10w,,,,,,,,,,,,,L3541,
Si,2,235.017,235.0172,20,4.70e+03,D+,287.24,42824.29,3s2.3p,2P*,3/2,3s.3p2,4P,1/2,,"c22,T6215,T5958",L3541,
Si,2,235.309,,20w,,,,,,,,,,,,,L3541,
Si,2,235.630,,100w,,,,,,,,,,,,,L3541,
Si,2,235.718,,30w,,,,,,,,,,,,,L3541,
Si,2,235.797,,50w,,,,,,,,,,,,,L3541,
Si,2,236.020,,10w,,,,,,,,,,,,,L3541,
Si,4,236.676,236.6750,2,5.18e+07,B+,276503.67,318742.79,2p6.5p,2P*,1/2,2p6.7s,2S,1/2,,c33,L6098,
Si,2,236.697,,30,,,,,,,,,,,,,L3541,
Si,4,237.099,237.0981,3,1.04e+08,B+,276579.03,318742.79,2p6.5p,2P*,3/2,2p6.7s,2S,1/2,,c33,L6098,
Si,2,237.426,,20,,,,,,,,,,,,,L3541,
Si,2,242.845,,10w,,,,,,,,,,,,,L3541,
Si,1,243.515,243.5154,300,4.43e+07,B,6298.850,47351.554,3s2.3p2,1D,2,3s2.3p.3d,1D*,2,,T5814,L3521,
Si,1,243.877,243.8768,65,7.91e+05,D,0.000,40991.884,3s2.3p2,3P,0,3s2.3p.4s,1P*,1,,T5814,L3521,
Si,1,244.336,244.3365,65,6.28e+05,C+,77.115,40991.884,3s2.3p2,3P,1,3s2.3p.4s,1P*,1,,T5814,L3521,
Si,3,244.948,244.9482,11,1.81e+07,C,201598.28,242410.88,3s.4d,3D,2,3s.6f,3F*,2,,"T6298c4,LS",L4833,
Si,1,245.212,245.2118,70,5.81e+05,D,223.157,40991.884,3s2.3p2,3P,2,3s2.3p.4s,1P*,1,,T5814,L3521,
Si,4,248.282,248.2839,2,6.62e+06,B+,265417.95,305682.27,2p6.5s,2S,1/2,2p6.6p,2P*,3/2,,c33,L6098,
Si,3,248.320,248.3197,6,1.33e+07,D+,209559.33,249817.85,3s.4f,3F*,3,3s.7g,3G,4,,"T6298c4,LS",L4833,
Si,4,248.538,248.5380,1,7.06e+06,B+,265417.95,305641.10,2p6.5s,2S,1/2,2p6.6p,2P*,1/2,,c33,L6098,
