element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pm,2,432.592,,250,,,,,,,,,,,,,u8,
Pm,2,433.205,,200,,,,,,,,,,,,,u8,
Pm,2,433.654,,300,,,,,,,,,,,,,u8,
Pm,2,433.748,,200,,,,,,,,,,,,,u8,
Pm,2,434.212,,300,,,,,,,,,,,,,u8,
Pm,1,434.772,,200,,,,,,,,,,,,,L4514c1,
Pm,1,436.392,,350r,,,,,,,,,,,,,L4514c1,
Pm,1,436.964,,300r,,,,,,,,,,,,,L4514c1,
Pm,2,438.188,,200,,,,,,,,,,,,,u8,
Pm,1,438.849,,400r,,,,,,,,,,,,,L4514c1,
Pm,2,438.876,,200,,,,,,,,,,,,,u8,
Pm,1,440.942,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,441.247,,500r,,,,,,,,,,,,,L4514c1,
Pm,2,441.796,441.796+,1000,,,1133.45,23761.98,4f5.(6H*).6s,7H*,4,,,3,,,u8,
Pm,2,443.251,,400,,,,,,,,,,,,,u8,
Pm,1,443.586,,250r,,,,,,,,,,,,,L4514c1,
Pm,1,443.655,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,443.868,,300r,,,,,,,,,,,,,L4514c1,
Pm,2,444.541,,500,,,,,,,,,,,,,u8,
Pm,2,444.690,,600,,,,,,,,,,,,,u8,
Pm,2,445.395,,800,,,,,,,,,,,,,u8,
Pm,2,445.997,,200,,,,,,,,,,,,,u8,
Pm,1,446.816,,250r,,,,,,,,,,,,,L4514c1,
Pm,2,447.148,,200,,,,,,,,,,,,,u8,
Pm,2,447.323,,300,,,,,,,,,,,,,u8,
Pm,2,447.746,,200,,,,,,,,,,,,,u8,
Pm,1,447.858,,350r,,,,,,,,,,,,,L4514c1,
Pm,1,448.160,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,448.505,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,449.050,,300r,,,,,,,,,,,,,L4514c1,
Pm,2,449.205,,250,,,,,,,,,,,,,u8,
Pm,2,450.015,,600,,,,,,,,,,,,,u8,
Pm,1,450.033,,350r,,,,,,,,,,,,,L4514c1,
Pm,1,450.684,,250,,,,,,,,,,,,,L4514c1,
Pm,2,450.938,,100,,,,,,,,,,,,,u8,
Pm,2,451.356,,100,,,,,,,,,,,,,u8,
Pm,1,451.731,,200,,,,,,,,,,,,,L4514c1,
Pm,1,452.332,,200,,,,,,,,,,,,,L4514c1,
Pm,2,452.520,,600,,,,,,,,,,,,,u8,
Pm,1,452.612,,250r,,,,,,,,,,,,,L4514c1,
Pm,1,452.676,,250r,,,,,,,,,,,,,L4514c1,
Pm,1,452.770,,400r,,,,,,,,,,,,,L4514c1,
Pm,2,452.921,,800,,,,,,,,,,,,,u8,
Pm,1,454.006,,300,,,,,,,,,,,,,L4514c1,
Pm,1,454.142,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,454.175,,450r,,,,,,,,,,,,,L4514c1,
Pm,1,454.408,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,454.517,,200,,,,,,,,,,,,,L4514c1,
Pm,1,454.978,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,455.403,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,455.463,,200,,,,,,,,,,,,,L4514c1,
Pm,1,455.534,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,455.606,,200,,,,,,,,,,,,,L4514c1,
Pm,1,455.703,,300,,,,,,,,,,,,,L4514c1,
Pm,1,455.921,,300,,,,,,,,,,,,,L4514c1,
Pm,2,456.483,,100,,,,,,,,,,,,,u8,
Pm,1,456.814,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,457.037,,200,,,,,,,,,,,,,L4514c1,
Pm,1,457.215,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,457.527,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,457.828,,300,,,,,,,,,,,,,L4514c1,
Pm,1,457.841,,200r,,,,,,,,,,,,,L4514c1,
Pm,1,457.948,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,458.114,,300,,,,,,,,,,,,,L4514c1,
Pm,1,458.549,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,459.382,,200,,,,,,,,,,,,,L4514c1,
Pm,1,459.582,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,459.755,,800,,,,,,,,,,,,,L4514c1,
Pm,1,460.025,,500r,,,,,,,,,,,,,L4514c1,
Pm,1,460.296,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,460.459,,400,,,,,,,,,,,,,L4514c1,
Pm,1,460.566,,600r,,,,,,,,,,,,,L4514c1,
Pm,1,460.985,,500r,,,,,,,,,,,,,L4514c1,
Pm,2,461.587,,100,,,,,,,,,,,,,u8,
Pm,1,461.702,,600r,,,,,,,,,,,,,L4514c1,
Pm,1,461.840,,200,,,,,,,,,,,,,L4514c1,
Pm,1,461.849,,400r,,,,,,,,,,,,,L4514c1,
Pm,1,461.975,,500r,,,,,,,,,,,,,L4514c1,
