element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
F,2,320.276,0.010,320.2761,170,1.4e+08,D,215069.59,246283.63,2s2.2p3.(2D*).3s,1D*,2,2s2.2p3.(2D*).3p,1D,2,,T1115CA,L369,
F,3,321.400,0.010,321.3970,120,2.7e+07,D,324876.72,355981.90,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(3P).3p,2D*,3/2,,"T1115CA,LS",L767,
F,2,326.408,0.010,,140,,,,,,,,,,,,,L369,
F,2,341.465,0.010,,140,,,,,,,,,,,,,L369,
F,2,341.645,0.010,,150,,,,,,,,,,,,,L369,
F,2,341.680,0.010,,140,,,,,,,,,,,,,L369,
F,2,341.700,0.010,,160,,,,,,,,,,,,,L369,
F,2,347.296,0.010,,160,,,,,,,,,,,,,L369,
F,2,347.331,0.010,,150,,,,,,,,,,,,,L369,
F,2,347.478,0.010,,170,,,,,,,,,,,,,L369,
F,2,350.139,0.010,350.1390,190,2.86e+08,C,202449.35,231001.27,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).3d,5D*,0,,"T1115CA,LS",L369,
F,2,350.145,0.010,350.1449,200,2.15e+08,C,202449.35,231000.79,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).3d,5D*,1,,"T1115CA,LS",L369,
F,2,350.157,0.010,350.1572,200,1.00e+08,C,202449.35,230999.78,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).3d,5D*,2,,"T1115CA,LS",L369,
F,2,350.284,0.010,350.2840,180,7.2e+07,C,202460.69,231000.79,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).3d,5D*,1,,"T1115CA,LS",L369,
F,2,350.296,0.010,350.2964,200,1.67e+08,C,202460.69,230999.78,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).3d,5D*,2,,"T1115CA,LS",L369,
F,2,350.311,0.010,350.3109,210,1.91e+08,C,202460.69,230998.60,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).3d,5D*,3,,"T1115CA,LS",L369,
F,2,350.537,0.010,350.5368,170,1.90e+07,C,202480.26,230999.78,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).3d,5D*,2,,"T1115CA,LS",L369,
F,2,350.552,0.010,350.5513,200,9.5e+07,C,202480.26,230998.60,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).3d,5D*,3,,"T1115CA,LS",L369,
F,2,350.563,0.010,350.5628,220,2.86e+08,C,202480.26,230997.66,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).3d,5D*,4,,"T1115CA,LS",L369,
F,2,352.289,0.010,,160,,,,,,,,,,,,,L369,
F,2,353.687,0.010,353.6869,150,1.5e+08,D,211887.19,240152.71,2s2.2p3.(2D*).3s,3D*,2,2s2.2p3.(2D*).3p,3P,1,,"T1115CA,LS",L369,
F,2,354.177,0.010,354.1768,160,1.7e+08,D,211866.13,240092.55,2s2.2p3.(2D*).3s,3D*,3,2s2.2p3.(2D*).3p,3P,2,,"T1115CA,LS",L369,
F,2,359.052,0.010,,160,,,,,,,,,,,,,L369,
