element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Xe,4,153.0980,0.0010,153.098+,7,,,125474.7,190792.5,5s.5p4,2D,5/2,5s2.5p2.(3P).6p,4D*,3/2,,,L11502,
Xe,5,153.1220,0.0010,153.122+,12,,,134702.7,200010.2,5s.5p3,3P*,2,5s2.5p.(2P*).4f,1F,3,,,L7287,
Xe,3,153.2765,0.0020,153.2766+,2,,,132711.78,197953.29,5s2.5p3.(2D*).5d,1G*,4,5s2.5p3.(2P*).4f,3G,3,,,L10579,
Xe,3,153.3416,0.0020,153.3403+,6,,,138145.49,203359.91,5s2.5p3.(2D*).6s,3D*,1,5s2.5p3.(2P*).4f,3D,2,,,L10579,
Xe,5,153.3660,0.0010,153.366+,4,,,181004.3,246208.0,5s2.5p.(2P*).5d,3D*,2,5s2.5p.(2P*).6p,3D,3,,,L7287,
Xe,3,153.5224,0.0020,153.5195+,3*,,,121475.94,186614.26,5s2.5p3.(4S*).6s,5S*,2,5s2.5p3.(2D*).4f,3F,3,,,L10579,
Xe,3,153.5224,0.0020,153.5227+,3*,,,117240.08,182377.01,5s2.5p3.(4S*).5d,3D*,2,5s2.5p3.(2D*).4f,3D,3,,,L10579,
Xe,3,153.5328,0.0020,153.5326+,7,,,124691.33,189824.07,5s2.5p3.(2D*).5d,3F*,2,5s2.5p3.(2D*).4f,1D,2,,,L10579,
Xe,3,153.6320,0.0010,153.6304+,3w,,,121229.58,186320.88,5s2.5p3.(4S*).5d,3D*,3,5s2.5p3.(2P*).6p,3P,2,,,L7270,
Xe,3,153.6386,0.0020,153.6391+,9,,,124691.33,189778.94,5s2.5p3.(2D*).5d,3F*,2,5s2.5p3.(2D*).4f,1F,3,,,L10579,
Xe,3,153.6812,0.0020,153.6814+,2,,,121922.75,186992.43,5s2.5p3.(4S*).5d,3D*,1,5s2.5p3.(2D*).4f,3D,2,,,L10579,
Xe,3,153.8220,0.0020,153.8222+,7,,,124691.33,189701.46,5s2.5p3.(2D*).5d,3F*,2,5s2.5p3.(2D*).4f,3P,1,,,L10579,
Xe,3,153.8863,0.0020,153.8862+,8,,,119026.03,184009.10,5s2.5p3.(2D*).5d,1P*,1,5s2.5p3.(2P*).6p,1D,2,,,L10579,
Xe,3,154.0970,0.0020,154.0973+,2,,,117240.08,182134.14,5s2.5p3.(4S*).5d,3D*,2,5s2.5p3.(2P*).6p,3S,1,,,L10579,
Xe,4,154.1100,0.0010,154.110+,10,,,141824.4,206713.1,5s2.5p2.(1D).5d,2F,5/2,5s2.5p2.(1D).4f,2G*,7/2,,,L11502,
Xe,4,154.1900,0.0010,154.189+,6,,,159642.8,224498.2,5s2.5p2.(3P).5d,4P,5/2,5s2.5p2.(1D).6p,2P*,3/2,,,L11502,
Xe,5,154.3610,0.0010,154.356+,6*,,,183025.2,247810.4,5s2.5p.(2P*).5d,3P*,0,5s2.5p.(2P*).6p,3S,1,,,L7287,
Xe,5,154.3610,0.0010,154.361+,6*,,,169672.6,234455.6,5s.5p3,1P*,1,5s2.5p.(2P*).6p,3P,1,,,L7287,
Xe,5,154.4110,0.0010,154.411+,9,,,185795.0,250557.2,5s2.5p.(2P*).5d,1D*,2,5s2.5p.(2P*).6p,1D,2,,,L7287,
Xe,3,154.6952,0.0020,154.6956+,9,,,127782.14,192425.21,5s2.5p3.(2D*).5d,3G*,4,5s2.5p3.(2D*).4f,1G,4,,,L10579,
Xe,3,154.7346,0.0020,154.7356+,7,,,133234.01,197860.38,5s2.5p3.(2D*).5d,3D*,1,5s2.5p3.(4S*).5f,5F,2,,,L10579,
Xe,3,154.8008,0.0020,154.8017+,9,,,132711.78,197310.57,5s2.5p3.(2D*).5d,1G*,4,5s2.5p3.(4S*).5f,5F,4,,,L10579,
Xe,4,154.8200,0.0010,154.819+,9,,,141624.8,206216.2,5s2.5p2.(3P).5d,4F,7/2,5s2.5p2.(1D).4f,2G*,9/2,,,L11502,
Xe,4,154.9620,0.0010,154.963+,7,,,136495.9,201027.6,5s2.5p2.(3P).5d,4F,5/2,5s2.5p2.(3P).6p,4S*,3/2,,,L11502,
Xe,3,154.9961,0.0020,154.9960+,9,,,103568.20,168086.00,5s.5p5,3P*,1,5s2.5p3.(2D*).6p,3P,1,,,L10579,
Xe,3,155.1651,0.0020,155.1665+,10,,,119026.03,183472.95,5s2.5p3.(2D*).5d,1P*,1,5s2.5p3.(2D*).4f,1P,1,,,L10579,
Xe,4,155.2410,0.0010,155.240+,8,,,134980.6,199397.0,5s2.5p2.(3P).5d,4F,3/2,5s2.5p2.(3P).4f,2D*,3/2,,,L11502,
Xe,4,155.3580,0.0010,155.358+,5,,,125474.7,189842.1,5s.5p4,2D,5/2,5s2.5p2.(3P).4f,2G*,7/2,,,L11502,
Xe,3,155.3907,0.0020,155.3914+,10,,,117240.08,181593.70,5s2.5p3.(4S*).5d,3D*,2,5s2.5p3.(2D*).4f,3F,2,,,L10579,
Xe,3,155.4426,0.0020,155.4428+,8,,,98262.47,162594.81,5s.5p5,3P*,2,5s2.5p3.(2D*).6p,3F,3,,,L10579,
Xe,4,155.6860,0.0010,155.687+,9,,,136796.3,201027.6,5s2.5p2.(3P).5d,2P,1/2,5s2.5p2.(3P).6p,4S*,3/2,,,L11502,
Xe,3,155.7460,0.0020,155.7462+,5,,,125617.06,189824.07,5s2.5p3.(4S*).6s,3S*,1,5s2.5p3.(2D*).4f,1D,2,,,L10579,
Xe,5,155.7840,0.0010,155.784+,6,,,170987.6,235178.9,5s2.5p.(2P*).5d,3P*,2,5s2.5p.(2P*).6p,3D,2,,,L7287,
Xe,4,155.8110,0.0010,155.811+,8,,,121928.9,186109.1,5s.5p4,2D,3/2,5s2.5p2.(3P).6p,4D*,1/2,,,L11502,
Xe,3,155.8178,0.0020,155.8187+,7,,,121229.58,185406.74,5s2.5p3.(4S*).5d,3D*,3,5s2.5p3.(2D*).4f,3F,4,,,L10579,
Xe,3,156.0011,0.0020,156.0033+,11,,,124691.33,188792.52,5s2.5p3.(2D*).5d,3F*,2,5s2.5p3.(2D*).4f,3D,1,,,L10579,
Xe,3,156.0437,0.0020,156.0442+,10,,,125617.06,189701.46,5s2.5p3.(4S*).6s,3S*,1,5s2.5p3.(2D*).4f,3P,1,,,L10579,
Xe,5,156.1470,0.0010,156.150+,14,,,182167.2,246208.0,5s2.5p.(2P*).5d,3D*,3,5s2.5p.(2P*).6p,3D,3,,,L7287,
Xe,3,156.2006,0.0020,156.2006+,9,,,133234.01,197254.25,5s2.5p3.(2D*).5d,3D*,1,5s2.5p3.(2P*).4f,3F,2,,,L10579,
Xe,4,156.2192,0.0010,156.215+,10,,,35649.6,99663.8,5s2.5p3,2P*,3/2,5s.5p4,4P,5/2,,,L6623,
Xe,3,156.2547,0.0020,156.2561+,12,,,98262.47,162259.97,5s.5p5,3P*,2,5s2.5p3.(2D*).6p,3D,2,,,L10579,
Xe,4,156.2730,0.0010,156.274+,10,,,136495.9,200486.2,5s2.5p2.(3P).5d,4F,5/2,5s2.5p2.(3P).6p,2D*,5/2,,,L11502,
Xe,4,156.3410,0.0010,156.342+,8,,,134980.6,198943.1,5s2.5p2.(3P).5d,4F,3/2,5s2.5p2.(3P).6p,4D*,5/2,,,L11502,
Xe,4,156.6080,0.0010,156.609+,10,,,155863.9,219717.3,5s2.5p2.(3P).5d,4D,7/2,5s2.5p2.(3P).4f,2F*,7/2,,,L11502,
Xe,5,156.6960,0.0010,156.698+,7,,,181004.3,244821.3,5s2.5p.(2P*).5d,3D*,2,5s2.5p.(2P*).6p,3P,2,,,L7287,
Xe,5,156.8100,0.0010,156.810+,5,,,28411.2,92182.8,5s2.5p2,1D,2,5s.5p3,5S*,2,,,L7287,
Xe,3,156.9338,0.0020,156.9336+,10,,,124691.33,188412.56,5s2.5p3.(2D*).5d,3F*,2,5s2.5p3.(2D*).4f,3P,2,,,L10579,
Xe,3,156.9753,0.0020,156.9753+,9,,,126119.77,189824.07,5s2.5p3.(2D*).5d,3F*,3,5s2.5p3.(2D*).4f,1D,2,,,L10579,
Xe,4,156.9910,0.0010,156.992+,5,,,133027.4,196724.9,5s2.5p2.(3P).5d,2P,3/2,5s2.5p2.(3P).6p,2D*,3/2,,,L11502,
Xe,3,157.0865,0.0020,157.0866+,6,,,126119.77,189778.94,5s2.5p3.(2D*).5d,3F*,3,5s2.5p3.(2D*).4f,1F,3,,,L10579,
Xe,4,157.1640,0.0010,157.165+,7,,,133027.4,196654.7,5s2.5p2.(3P).5d,2P,3/2,5s2.5p2.(3P).4f,4D*,1/2,,,L11502,
Xe,4,157.2090,0.0010,157.208+,3,,,145011.2,208621.1,5s2.5p2.(1D).5d,2F,7/2,5s2.5p2.(3P).4f,2F*,5/2,,,L11502,
Xe,3,157.2188,0.0020,157.2195+,9,,,103568.20,167173.54,5s.5p5,3P*,1,5s2.5p3.(4S*).4f,5F,1,,,L10579,
Xe,4,157.2520,0.0010,157.253+,8,,,141624.8,205216.7,5s2.5p2.(3P).5d,4F,7/2,5s2.5p2.(1D).4f,2F*,7/2,,,L11502,
Xe,4,157.2820,0.0010,157.282+,4,,,141624.8,205205.0,5s2.5p2.(3P).5d,4F,7/2,5s2.5p2.(1D).4f,2F*,5/2,,,L11502,
Xe,5,157.4730,0.0010,157.471+,7,,,145807.0,209310.7,5s.5p3,1D*,2,5s2.5p.(2P*).4f,3D,1,,,L7287,
Xe,3,157.4847,0.0020,157.4850+,9,,,103568.20,167066.32,5s.5p5,3P*,1,5s2.5p3.(2D*).6p,3P,2,,,L10579,
Xe,4,157.5340,0.0010,157.533+,10,,,133027.4,196506.1,5s2.5p2.(3P).5d,2P,3/2,5s2.5p2.(3P).4f,4F*,5/2,,,L11502,
Xe,5,157.5590,0.0010,157.560+,8,,,170987.6,234455.6,5s2.5p.(2P*).5d,3P*,2,5s2.5p.(2P*).6p,3P,1,,,L7287,
Xe,4,157.7470,0.0010,157.748+,3,,,141824.4,205216.7,5s2.5p2.(1D).5d,2F,5/2,5s2.5p2.(1D).4f,2F*,7/2,,,L11502,
Xe,4,157.7770,0.0010,157.777+,8,,,141824.4,205205.0,5s2.5p2.(1D).5d,2F,5/2,5s2.5p2.(1D).4f,2F*,5/2,,,L11502,
Xe,3,157.8154,0.0020,157.8162+,9,,,121229.58,184594.45,5s2.5p3.(4S*).5d,3D*,3,5s2.5p3.(2P*).6p,3D,3,,,L10579,
Xe,3,157.9476,0.0020,157.9482+,10,,,103568.20,166880.09,5s.5p5,3P*,1,5s2.5p3.(4S*).4f,5F,2,,,L10579,
Xe,4,158.1130,0.0010,158.113+,9,,,125474.7,188720.6,5s.5p4,2D,5/2,5s2.5p2.(3P).4f,2D*,5/2,,,L11502,
Xe,4,158.3850,0.0010,158.385+,5*,,,146206.5,209343.7,5s2.5p2.(3P).5d,4D,3/2,5s2.5p2.(3P).6p,2P*,1/2,,,L11502,
