element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ge,2,117.8957,0.0005,117.8957,10,,,53366.738,138187.5,4s.4p2,4P,5/2,4s.4p.(3P*).4d,4P*,5/2,,,L3335,
Ge,2,118.1194,0.0005,118.1198,500,,,51575.885,136235.7,4s.4p2,4P,1/2,4s.4p.(3P*).4d,4D*,3/2,,,L3335,
Ge,2,118.1650,0.0005,118.1649,500,,,51575.885,136203.4,4s.4p2,4P,1/2,4s.4p.(3P*).4d,4D*,1/2,,,L3335,
Ge,2,118.8732,0.0005,118.87328,200,,,1767.357,85890.55,4s2.4p,2P*,3/2,4s.4p2,2S,1/2,,,L3335,
Ge,4,118.899,0.010,,20,,,,,,,,,,,,,L3302,
Ge,2,118.9623,0.0005,118.9624,100,,,52290.942,136351.1,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4D*,5/2,,,L3335,
Ge,2,119.1264,0.0005,119.1260,300,,,52290.942,136235.7,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4D*,3/2,,,L3335,
Ge,2,119.1719,0.0005,119.1718,50,,,52290.942,136203.4,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4D*,1/2,,,L3335,
Ge,2,119.4787,0.0005,119.4772,20h,,,53366.738,137064.7,4s.4p2,4P,5/2,4s.4p.(3P*).4d,4D*,7/2,,,L3335,
Ge,2,120.5049,0.0005,120.5046,5,,,53366.738,136351.1,4s.4p2,4P,5/2,4s.4p.(3P*).4d,4D*,5/2,,,L3335,
Ge,2,120.6725,0.0005,120.6724,5,,,53366.738,136235.7,4s.4p2,4P,5/2,4s.4p.(3P*).4d,4D*,3/2,,,L3335,
Ge,3,121.247,0.010,,8,,,,,,,,,,,,,L3302,
Ge,5,122.230,0.010,,700,,,,,,,,,,,,,L3608,
Ge,4,122.981,0.010,,20,,,,,,,,,,,,,L3302,
Ge,2,123.70580,0.00010,123.705912,500,1.9e+09,D,0.000,80836.880,4s2.4p,2P*,1/2,4s2.4d,2D,3/2,,T4515,L3335,
Ge,2,126.19041,0.00010,126.190543,500,2.2e+09,D,1767.357,81012.598,4s2.4p,2P*,3/2,4s2.4d,2D,5/2,,T4515,L3335,
Ge,2,126.47087,0.00006,126.470979,100,3.5e+08,D,1767.357,80836.880,4s2.4p,2P*,3/2,4s2.4d,2D,3/2,,T4515,L22,
Ge,2,126.8444,0.0005,126.8441,10,,,51575.885,130412.8,4s.4p2,4P,1/2,4s.4p.(3P*).4d,4F*,3/2,,,L3335,
Ge,2,128.0050,0.0005,128.0051,10,,,52290.942,130412.8,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4F*,3/2,,,L3335,
Ge,3,132.324,0.010,,4,,,,,,,,,,,,,L3302,
Ge,2,138.0425,0.0005,138.0425,100,,,52290.942,124732.4,4s.4p2,4P,3/2,4s.4p.(3P*).5s,4P*,5/2,,,L3335,
