element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sb,1,202.400,202.40026,0.00010,50,,,0.000,49391.133,5p3,4S*,3/2,5p2.(3P).6s,2P,3/2,,,L7406,
Sb,1,202.949,202.94305,0.00010,60r,,,16395.359,65654.41,5p3,2P*,1/2,5p2.(1S).6s,2S,1/2?,,,L7406,
Sb,1,203.977,203.97918,0.00010,70r,,,9854.018,58862.889,5p3,2D*,5/2,5p2.(3P).5d,4D,5/2,,,L7406,
Sb,1,204.957,204.95768,0.00010,150r,,,8512.125,57287.052,5p3,2D*,3/2,5p2.(3P).5d,2F,5/2,,,L7406,
Sb,3,205.410,,,3,,,,,,,,,,,,,L3303,
Sb,1,206.343,206.34065,0.00010,50,,,16395.359,64843.421,5p3,2P*,1/2,5p2.(1D).5d,2D,3/2,,,L7406,
Sb,1,206.833,206.83440,0.00010,1000r,1.81e+08,,0.000,48332.424,5p3,4S*,3/2,5p2.(3P).6s,4P,5/2,,T3880,L7406,
Sb,1,207.956,207.95942,0.00010,100,,,18464.202,66535.19,5p3,2P*,3/2,,66535,"3/2,5/2",,,L7406,
Sb,3,209.185,,,2,,,,,,,,,,,,,L3303,
Sb,1,209.841,209.84244,0.00010,50r,,,8512.125,56151.802,5p3,2D*,3/2,5p2.(3P).5d,4P,3/2,,,L7406,
Sb,1,211.848,211.84135,0.00010,80r,,,18464.202,65654.41,5p3,2P*,3/2,5p2.(1S).6s,2S,1/2?,,,L7406,
Sb,3,212.700,,,5,,,,,,,,,,,,,L3303,
Sb,1,212.739,212.73925,0.00010,100r,,,0.000,46991.058,5p3,4S*,3/2,5p2.(3P).6s,2P,1/2,,,L7406,
Sb,1,213.705,213.70352,0.00010,50r,,,18464.202,65243.250,5p3,2P*,3/2,5p2.(1D).5d,2D,5/2,,,L7406,
Sb,1,213.969,213.96981,0.00010,100r,1.74e+08,,8512.125,55232.963,5p3,2D*,3/2,5p2.(1D).6s,2D,3/2,,T3880,L7406,
Sb,2,214.180,214.176+,0.006,10,,,66291.6,112967.5,5s.5p3,3D*,1,5s2.5p.4f,3D,2,,,"L3304,L16370",
Sb,1,214.183,214.18403,0.00010,50r,,,9854.018,56528.132,5p3,2D*,5/2,5p2.(3P).5d,4F,7/2,,,L7406,
Sb,1,214.486,214.48413,0.00010,100r,,,8512.125,55120.943,5p3,2D*,3/2,5p2.(3P).5d,4F,5/2,,,L7406,
Sb,1,215.891,215.89169,0.00010,50,,,18464.202,64769.175,5p3,2P*,3/2,5p2.(3P).6d,4D,1/2,,,L7406,
Sb,1,217.581,217.58175,0.00010,1500r,1.75e+08,,0.000,45945.340,5p3,4S*,3/2,5p2.(3P).6s,4P,3/2,,T3880,L7406,
Sb,1,217.919,217.91898,0.00010,250r,2.39e+08,,9854.018,55728.264,5p3,2D*,5/2,5p2.(1D).6s,2D,5/2,,T3880,L7406,
Sb,1,220.132,220.13091,0.00010,200r,,,16395.359,61808.698,5p3,2P*,1/2,5p2.(3P).5d,2D,3/2,,,L7406,
Sb,1,220.845,220.84298,0.00010,300r,,,9854.018,55120.943,5p3,2D*,5/2,5p2.(3P).5d,4F,5/2,,,L7406,
Sb,1,222.073,222.07495,0.00010,150r,,,8512.125,53527.956,5p3,2D*,3/2,5p2.(3P).5d,4F,3/2,,,L7406,
Sb,1,222.198,222.19679,0.00010,100,,,16395.359,61386.509,5p3,2P*,1/2,5p2.(3P).7s,2P,1/2,,,L7406,
Sb,1,222.493,222.49506,0.00010,120r,,,8512.125,53442.967,5p3,2D*,3/2,5p2.(3P).5d,4P,5/2,,,L7406,
