element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),J_i,J_k,Type,tp_ref,line_ref,
U,2,376.457,,490,,,,,,,,,L3475,
U,1,376.689,,430,,,,,,,,,L3475,
U,2,376.953,,330,,,,,,,,,L3475,
U,1,377.343,,540,,,,,,,,,L3475,
U,1,377.648,,300,,,,,,,,,L3475,
U,2,378.071,,380,,,,,,,,,L3475,
U,2,378.284,,1900,,,,,,,,,L3475,
U,2,378.384,,430,,,,,,,,,L3475,
U,2,379.310,,570,,,,,,,,,L3475,
U,1,379.326,,380,,,,,,,,,L3475,
U,2,379.357,,380,,,,,,,,,L3475,
U,1,380.892,,380,,,,,,,,,L3475,
U,2,380.922,,380,,,,,,,,,L3475,
U,1,381.199,,1900,,,,,,,,,L3475,
U,2,381.379,,380,,,,,,,,,L3475,
U,2,381.406,,380,,,,,,,,,L3475,
U,2,382.651,,750,,,,,,,,,L3475,
U,2,383.146,,2000,,,,,,,,,L3475,
U,1,383.963,,1200,,,,,,,,,L3475,
U,2,384.860,,490p,,,,,,,,,L3475,
U,1,385.422,,620,,,,,,,,,L3475,
U,2,385.464,,2400,,,,,,,,,L3475,
U,2,385.957,,4900,,,,,,,,,L3475,
U,2,386.117,,490,,,,,,,,,L3475,
U,2,386.592,,1900,,,,,,,,,L3475,
U,2,386.680,,380,,,,,,,,,L3475,
U,1,387.103,,1500,,,,,,,,,L3475,
U,2,387.404,,620,,,,,,,,,L3475,
U,2,387.808,,620,,,,,,,,,L3475,
U,2,388.145,,1000,,,,,,,,,L3475,
U,2,388.236,,490,,,,,,,,,L3475,
U,2,388.328,,380,,,,,,,,,L3475,
U,2,389.036,,2200,,,,,,,,,L3475,
U,2,389.268,,620,,,,,,,,,L3475,
U,1,389.412,,490,,,,,,,,,L3475,
U,2,389.677,,490,,,,,,,,,L3475,
U,2,389.978,,620,,,,,,,,,L3475,
U,2,390.255,,410,,,,,,,,,L3475,
U,2,390.430,,460,,,,,,,,,L3475,
