element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Nd,2,372.690,372.68948+,250,,,10091.360,36915.720,4f3.(4I*).5d (5K*).6s,6K*,9/2,,,9/2,,,L3475,
Nd,2,372.813,372.81256+,710,1.26e+07,B+,1470.105,28285.610,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,6H*,11/2,,T7685,L3475,
Nd,2,373.058,373.05769+,470*,,,3066.755,29864.640,4f4.(5I).6s,4I,11/2,,*,9/2,,,L3475,
Nd,2,373.058,373.05769+,470*,,,14997.915,41795.800,4f3.5d.6s,2I*,11/2,4f3.5d.6p,,9/2,,,L3475,
Nd,2,373.278,373.27506+,270,,,13911.620,40693.900,4f3.(4I*).5d (5K*).6s,6L*,17/2,4f3.5d.6p,,19/2,,,L3475,
Nd,2,373.554,373.55354+,1000D*,,,4512.495,31274.810,4f4.(5I).6s,4I,13/2,,*,11/2,,,L3475,
Nd,2,373.560,373.56966+,1000D*,,,16565.505,43326.665,4f3.5d2,*,9/2,4f3.5d.6p,,7/2,,,L3475,
Nd,2,373.710,373.70777+,440,7.8e+06,B+,2585.460,29336.730,4f4.(5I).6s,6I,13/2,,*,11/2,,T7685,L3475,
Nd,2,373.806,373.80552+,1000,3.08e+07,B+,4512.495,31256.770,4f4.(5I).6s,4I,13/2,,*,13/2,,T7685,L3475,
Nd,2,374.142,374.14240+,270,9.9e+06,B+,513.330,27233.525,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475,
Nd,2,374.985,374.99077+,200*,,,1470.105,28129.850,4f4.(5I).6s,6I,11/2,,*,11/2,,,L3475,
Nd,2,374.985,374.98459+,200*,,,14259.380,40919.565,4f4.(5I).5d,,13/2,,*,15/2,,,L3475,
Nd,2,375.031,375.03009+,320,,,12260.605,38917.555,4f3.(4I*).5d (5K*).6s,6L*,15/2,4f3.5d.6p,6L,17/2,,,L3475,
Nd,2,375.249,375.24956+,580,2.43e+07,B+,4512.495,31153.855,4f4.(5I).6s,4I,13/2,4f4.(5I).6p,4I*,13/2,,T7685,L3475,
Nd,2,375.2679,375.26759+,370,8.9e+06,B+,0.000,26640.080,4f4.(5I).6s,6I,7/2,4f4.(5I).6p,6H*,7/2,,T7685,"L3260,L3475",
Nd,2,375.483,375.48233+,250,,,10091.360,36716.205,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,,9/2,,,L3475,
Nd,2,375.560,375.55963+,370,4.9e+06,B+,1470.105,28089.470,4f4.(5I).6s,6I,11/2,,*,13/2,,T7685,L3475,
Nd,2,375.782,375.78148+,510,9.1e+06,B+,3801.930,30405.580,4f4.(5I).6s,6I,15/2,,*,15/2,,T7685,L3475,
Nd,2,375.895,375.89325+,930,3.94e+07,B+,5985.580,32581.320,4f4.(5I).6s,4I,15/2,,*,13/2,,T7685,L3475,
Nd,2,375.979,375.97927+,300,9.3e+06,B+,5085.640,31675.295,4f4.(5I).6s,6I,17/2,4f4.(5I).6p,4K*,17/2,,T7685,L3475,
Nd,2,376.347,376.34721+,930,2.18e+07,B+,1650.205,28213.865,4f4.(5I).6s,4I,9/2,4f4.(5I).6p,4H*,7/2,,T7685,L3475,
Nd,2,376.659,376.65853+,300,,,10980.540,37522.245,4f3.(4I*).5d2.(3F),6M*,17/2,4f3.(4I*).5d (5L*).6p,6M,17/2,,,L3475,
Nd,2,376.9644,376.96340+,510,8.5e+06,B+,1650.205,28170.445,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,"L3260,L3475",
Nd,2,377.550,377.54973+,1400,3.89e+07,B+,5985.580,32464.635,4f4.(5I).6s,4I,15/2,4f4.(5I).6p,4I*,15/2,,T7685,L3475,
Nd,2,377.634,377.63316+,250,,,10794.290,37267.495,4f3.(4I*).5d (5K*).6s,6L*,13/2,4f3.5d.6p,6L,15/2,,,L3475,
Nd,2,377.947,377.94619+,710,1.28e+07,B+,1470.105,27921.385,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,4I*,9/2,,T7685,L3475,
Nd,2,378.0391,378.03823+,580,1.16e+07,B+,3801.930,30246.770,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,6I*,17/2,,T7685,"L3260,L3475",
Nd,2,378.132,378.13084+,510,,,5985.580,32423.943,4f4.(5I).6s,4I,15/2,,*,15/2,,,L3475,
Nd,2,378.378,378.37619+,300,,,15176.110,41597.330,4f3.(4I*).5d (5K*).6s,6K*,17/2,4f3.5d.6p,,19/2,,,L3475,
Nd,2,378.425,378.42446+,2400,5.5e+07,B+,3066.755,29484.605,4f4.(5I).6s,4I,11/2,4f4.(5I).6p,4I*,11/2,,T7685,L3475,
Nd,2,378.473,378.47138+,270,,,12600.805,39015.380,4f3.(4I*).5d2.(3F),6M*,19/2,,,17/2,,,L3475,
Nd,2,379.150,379.14710+,340*,,,3066.755,29434.255,4f4.(5I).6s,4I,11/2,4f4.(5I).6p,6H*,13/2,,,L3475,
Nd,2,379.150,379.14990+,340*,,,12331.345,38698.650,4f3.5d.6s,*,11/2,4f3.5d.6p,,9/2,,,L3475,
Nd,2,379.545,379.54540+,340,1.04e+07,B+,1650.205,27990.035,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,L3475,
Nd,2,379.955,379.95184+,240,,,1470.105,27781.760,4f4.(5I).6s,6I,11/2,,*,11/2,,,L3475,
Nd,2,380.112,380.11136+,370,8.8e+06,B+,4512.495,30813.108,4f4.(5I).6s,4I,13/2,,*,13/2,,T7685,L3475,
Nd,2,380.138,380.14494+,200*,,,9198.395,35496.685,4f4.(5I).5d,6G,7/2,,*,5/2,,,L3475,
Nd,2,380.138,380.12995+,200*,2.01e+06,B+,1470.105,27769.432,4f4.(5I).6s,6I,11/2,,*,11/2,,T7685,L3475,
Nd,2,380.230,380.22862+,340*,,,0.000,26292.502,4f4.(5I).6s,6I,7/2,,*,7/2,,,L3475,
Nd,2,380.230,380.22258+,340*,2.72e+06,B+,3801.930,30094.850,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,4K*,15/2,,T7685,L3475,
Nd,2,380.347,380.34713+,1200,1.88e+07,B+,1650.205,27934.515,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,L3475,
Nd,2,380.410,380.40950+,200,1.83e+06,C+,513.330,26793.331,4f4.(5I).6s,6I,9/2,,*,7/2,,T7685,L3475,
Nd,2,380.5359,380.53723+,2500*,4.05e+07,B+,1650.205,27921.385,4f4.(5I).6s,4I,9/2,4f4.(5I).6p,4I*,9/2,,T7685,"L3260,L3475",
Nd,2,380.5359,380.53353+,2500*,1.55e+07,B+,2585.460,28856.895,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,6I*,15/2,,T7685,"L3260,L3475",
Nd,2,380.555,380.55468+,340,1.01e+07,B+,3066.755,29336.730,4f4.(5I).6s,4I,11/2,,*,11/2,,T7685,L3475,
Nd,2,380.7227,380.72433+,470*,,,11377.565,37635.835,4f4.(5F).6s,6F,7/2,,*,5/2,,,"L3260,L3475",
Nd,2,380.7227,380.72244+,470*,,,10054.195,36312.595,4f3.(4I*).5d (5K*).6s,6L*,11/2,4f3.5d.6p,6L,13/2,,,"L3260,L3475",
Nd,2,380.7227,380.71737+,470*,1.19e+06,B,513.330,26772.080,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6I*,11/2,,T7685,"L3260,L3475",
Nd,2,380.877,380.87670+,540,8.6e+06,B+,513.330,26761.095,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,L3475,
Nd,2,380.906,380.90384+,440,7.8e+06,B+,513.330,26759.225,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475,
Nd,2,381.049,381.04765+,580,2.10e+07,B+,5985.580,32221.570,4f4.(5I).6s,4I,15/2,,*,15/2,,T7685,L3475,
Nd,2,381.106,381.10750+,240,6.6e+06,B+,3066.755,29298.625,4f4.(5I).6s,4I,11/2,,*,9/2,,T7685,L3475,
Nd,2,381.1774,381.17696+,270,2.53e+06,B+,0.000,26227.090,4f4.(5I).6s,6I,7/2,,*,9/2,,T7685,"L3260,L3475",
Nd,2,381.253,381.25299+,200,,,13911.620,40133.480,4f3.(4I*).5d (5K*).6s,6L*,17/2,4f3.5d.6p,,17/2,,,L3475,
Nd,2,381.473,381.47201+,710,1.44e+07,B+,0.000,26206.805,4f4.(5I).6s,6I,7/2,,*,7/2,,T7685,L3475,
Nd,2,381.970,381.97019+,240,6.0e+06,B+,3066.755,29239.381,4f4.(5I).6s,4I,11/2,,*,11/2,,T7685,L3475,
Nd,2,382.247,382.24982+,410*,,,3801.930,29955.410,4f4.(5I).6s,6I,15/2,,*,15/2,,,L3475,
Nd,2,382.247,382.24497+,410*,,,3066.755,29220.567,4f4.(5I).6s,4I,11/2,,*,9/2,,,L3475,
Nd,2,382.6416,382.64091+,1200,2.21e+07,B+,513.330,26640.080,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6H*,7/2,,T7685,"L3260,L3475",
Nd,2,382.800,382.79805+,240,8.6e+06,B+,0.000,26116.025,4f4.(5I).6s,6I,7/2,,*,5/2,,T7685,L3475,
Nd,2,382.885,382.88404+,540,,,5985.580,32095.740,4f4.(5I).6s,4I,15/2,,*,13/2,,,L3475,
