element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,2,319.626,319.6318,0.0010,1*,1.1374e+07,AAA,[561242.28],[592519.24],1s.3d,3D,2,1s.5f,3F*,2,,T8636c73,L3501,
Li,2,319.633,319.6381,0.0010,9*,6.3543e+06,AAA,[561242.90],[592519.24],1s.3d,3D,3,1s.5f,3F*,3,,T8636c73,L3501,
Li,2,319.633,319.6381,0.0010,9*,7.3144e+07,AAA,[561242.90],[592519.24],1s.3d,3D,3,1s.5f,3F*,4,,T8636c73,L3501,
Li,2,319.633,319.6381,0.0010,9*,3.2509e+05,AAA,[561242.90],[592519.24],1s.3d,3D,3,1s.5f,3F*,2,,T8636c73,L3501,
Li,2,319.636,319.6435,0.0010,4,6.1443e+07,AAA,[561243.43],[592519.24],1s.3d,3D,1,1s.5f,3F*,2,,T8636c73,L3501,
Li,2,319.933,319.9332,0.0010,5,5.8056e+07,AAA,[561272.75],[592520.24],1s.3d,1D,2,1s.5f,1F*,3,,T8636c73,L3501,
Li,2,319.943,319.9435,0.0010,2,1.483e+07,AA,[561272.75],[592519.24],1s.3d,1D,2,1s.5f,3F*,3,,T8636c73,L3501,
Li,1,323.266,323.2657,0.0010,17*,1.002e+06,AA,0.00,30925.38,1s2.2s,2S,1/2,1s2.3p,2P*,1/2,,T7401LS,L7397,
Li,1,323.266,323.2657,0.0010,17*,1.002e+06,AA,0.00,30925.38,1s2.2s,2S,1/2,1s2.3p,2P*,3/2,,T7401LS,L7397,
Li,2,371.400,,,1,,,,,,,,,,,,,L3501,
Li,2,371.416,,,5,,,,,,,,,,,,,L3501,
Li,2,371.427,,,6bl,,,,,,,,,,,,,L3501,
Li,2,371.429,,,8,,,,,,,,,,,,,L3501,
Li,2,371.440,,,7bl,,,,,,,,,,,,,L3501,
Li,2,371.441,,,10,,,,,,,,,,,,,L3501,
Li,2,371.451,,,1,,,,,,,,,,,,,L3501,
Li,1,371.87,372.089,0.010,3*,2.011e+06,AA,14903.66,41771.3,1s2.2p,2P*,1/2,1s2.8d,2D,3/2,,T6835LS,L7397,
Li,1,371.87,372.094,0.010,3*,2.413e+06,AA,14904.00,41771.3,1s2.2p,2P*,3/2,1s2.8d,2D,5/2,,T6835LS,L7397,
