element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mg,3,640.6619,640.6637,0.0010,8,,,546531.6,562136.1,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,2s2.2p5.(2P*<3/2>).4p,2[5/2],2,,,L6095,
Mg,3,641.7036,641.7000,0.0010,1,,,548720.7,564300.0,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,1,2s2.2p5.(2P*<3/2>).4p,2[1/2],0,,,L1434,
Mg,3,642.1224,642.1204,0.0010,4,,,548720.7,564289.8,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,1,2s2.2p5.(2P*<1/2>).4p,2[3/2],1,,,L1434,
Mg,3,651.1429,651.1416,0.0010,2,,,570112.8,585466.2,2s2.2p5.(2P*<1/2>).4p,2[1/2],0,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,1,,,L1434,
Mg,2,654.5973,654.5942,0.0010,11*,,,93799.63,109072.05,2p6.4f,2F*,5/2,2p6.6g,2G,7/2,,,L7414,
Mg,2,654.5973,654.5994,0.0010,11*,,,93799.75,109072.05,2p6.4f,2F*,7/2,2p6.6g,2G,9/2,,,L7414,
Mg,2,662.0440,662.0438,0.0010,5,4.61e+05,B+,93799.63,108900.20,2p6.4f,2F*,5/2,2p6.6d,2D,3/2,,c31,L7414,
Mg,2,662.0569,662.0570,0.0010,6,4.37e+05,B+,93799.75,108900.02,2p6.4f,2F*,7/2,2p6.6d,2D,5/2,,c31,L7414,
Mg,1,663.0834,663.0833,0.0010,2,,,43503.333,58580.23,3s.4s,1S,0,3s.7p,1P*,1,,,L6095,
Mg,2,678.1451,678.1445,0.0010,7,2.49e+06,B+,97455.12,112197.17,2p6.5p,2P*,1/2,2p6.7d,2D,3/2,,c31,L7414,
Mg,2,678.7851,678.7855,0.0010,8,2.96e+06,B+,97468.92,112197.05,2p6.5p,2P*,3/2,2p6.7d,2D,5/2,,c31,L7414,
Mg,2,681.2860,681.2857,0.0010,7,2.11e+06,B+,97455.12,112129.20,2p6.5p,2P*,1/2,2p6.8s,2S,1/2,,c31,L7414,
Mg,2,681.9270,681.9270,0.0010,8,4.21e+06,B+,97468.92,112129.20,2p6.5p,2P*,3/2,2p6.8s,2S,1/2,,c31,L7414,
Mg,1,689.4898,689.4918,0.0010,4,,,46403.065,60902.50,3s.3d,1D,2,3s.12f,1F*,3,,,L6095,
Mg,1,696.5404,696.5409,0.0010,6,,,46403.065,60755.764,3s.3d,1D,2,3s.11f,1F*,3,,,L6095,
Mg,3,705.6876,705.6861,0.0010,3,,,545820.4,559987.1,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,2s2.2p5.(2P*<3/2>).4p,2[1/2],1,,,L1434,
Mg,1,706.0409,706.0414,0.0010,8,8.51e+05,D,46403.065,60562.637,3s.3d,1D,2,3s.10f,1F*,3,,T6298c72,L6095,
Mg,2,716.6676,716.6663,0.0010,2*,,,103689.86,117639.51,2p6.5f,2F*,5/2,2p6.11g,2G,7/2,,,L7414,
Mg,2,716.6676,716.6694,0.0010,2*,,,103689.92,117639.51,2p6.5f,2F*,7/2,2p6.11g,2G,9/2,,,L7414,
Mg,1,719.3172,719.3184,0.0010,10,1.18e+06,D,46403.065,60301.283,3s.3d,1D,2,3s.9f,1F*,3,,T6298c72,L6095,
Mg,1,729.1060,729.1055,0.0010,10,6.27e+04,C+,43503.333,57214.992,3s.4s,1S,0,3s.6p,1P*,1,,T5539,L6095,
Mg,1,738.7004,738.7001,0.0010,5,,,46403.065,59936.63,3s.3d,1D,2,3s.9p,1P*,1,,,L6095,
Mg,1,738.7685,738.7689,0.0010,12,1.74e+06,C+,46403.065,59935.370,3s.3d,1D,2,3s.8f,1F*,3,,T5539,L6095,
Mg,3,742.9846,742.9859,0.0010,3,,,546531.6,559987.1,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,2s2.2p5.(2P*<3/2>).4p,2[1/2],1,,,L1434,
Mg,2,758.0764,758.0748,0.0010,4*,,,103689.86,116877.54,2p6.5f,2F*,5/2,2p6.10g,2G,7/2,,,L7414,
Mg,2,758.0764,758.0782,0.0010,4*,,,103689.92,116877.54,2p6.5f,2F*,7/2,2p6.10g,2G,9/2,,,L7414,
Mg,2,758.9558,758.9553,0.0010,3,,,103705.66,116878.04,2p6.5g,2G,9/2,2p6.10h,2H*,11/2,,,L7414,
Mg,1,765.7603,765.7603,0.0010,20,1.23e+06,C,41197.403,54252.726,3s.4s,3S,1,3s.5p,3P*,2,,"T6298c72,LS",L6095,
Mg,1,765.9152,765.9152,0.0010,19,1.23e+06,C,41197.403,54250.086,3s.4s,3S,1,3s.5p,3P*,1,,"T6298c72,LS",L6095,
Mg,1,765.9902,765.9901,0.0010,17,1.23e+06,D+,41197.403,54248.809,3s.4s,3S,1,3s.5p,3P*,0,,"T6298c72,LS",L6095,
Mg,1,769.0165,769.0123,0.0010,8,,,46403.065,59403.18,3s.3d,1D,2,3s.8p,1P*,1,,,L6095,
Mg,1,769.1550,769.1553,0.0010,15,2.66e+06,B,46403.065,59400.763,3s.3d,1D,2,3s.7f,1F*,3,,T5539,L6095,
Mg,1,772.2614,772.2583,0.0010,1*,,,47957.027,60902.50,3s.3d,3D,2,3s.12f,3F*,3,,,L6095,
Mg,1,772.2614,772.2593,0.0010,1*,,,47957.045,60902.50,3s.3d,3D,3,3s.12f,3F*,4,,,L6095,
Mg,1,772.2614,772.2601,0.0010,1*,,,47957.058,60902.50,3s.3d,3D,1,3s.12f,3F*,2,,,L6095,
Mg,1,774.6343,774.6345,0.0010,1,,,35051.264,47957.027,3s.3p,1P*,1,3s.3d,3D,2,,,L6095,
Mg,1,775.9297,775.9298,0.0010,1,,,47851.162,60735.38,3s.4p,3P*,2,3s.11d,3D,3,,,L6095,
Mg,2,778.6500,778.6499,0.0010,5,1.97e+05,B+,92790.51,105629.72,2p6.5s,2S,1/2,2p6.6p,2P*,3/2,,c31,L7414,
Mg,2,779.0978,779.0977,0.0010,4,1.84e+05,B+,92790.51,105622.34,2p6.5s,2S,1/2,2p6.6p,2P*,1/2,,c31,L7414,
Mg,1,781.1135,781.1122,0.0010,3*,,,47957.027,60755.764,3s.3d,3D,2,3s.11f,3F*,3,,,L6095,
Mg,1,781.1135,781.1133,0.0010,3*,,,47957.045,60755.764,3s.3d,3D,3,3s.11f,3F*,4,,,L6095,
Mg,1,781.1135,781.1141,0.0010,3*,,,47957.058,60755.764,3s.3d,3D,1,3s.11f,3F*,2,,,L6095,
Mg,2,787.7051,787.7054,0.0010,12,6.58e+07,A+,80619.50,93311.11,2p6.4p,2P*,1/2,2p6.4d,2D,3/2,,"c31,T6870,c23",L7414,
Mg,1,788.1667,788.1669,0.0010,2,4.56e+05,D,47851.162,60535.34,3s.4p,3P*,2,3s.10d,3D,3,,"T6298c72,LS",L6095,
Mg,2,789.6368,789.6366,0.0010,13,7.86e+07,A+,80650.02,93310.59,2p6.4p,2P*,3/2,2p6.4d,2D,5/2,,"c31,T6870,c23",L7414,
Mg,1,793.0806,793.0794,0.0010,7*,4.78e+05,D,47957.027,60562.637,3s.3d,3D,2,3s.10f,3F*,3,,"T6298c72,LS",L6095,
Mg,1,793.0806,793.0806,0.0010,7*,5.38e+05,D,47957.045,60562.637,3s.3d,3D,3,3s.10f,3F*,4,,"T6298c72,LS",L6095,
Mg,1,793.0806,793.0814,0.0010,7*,4.52e+05,D,47957.058,60562.637,3s.3d,3D,1,3s.10f,3F*,2,,"T6298c72,LS",L6095,
Mg,1,794.707,794.710,0.010,2,2.91e+04,E,47841.119,60420.87,3s.4p,3P*,0,3s.11s,3S,1,,"T6298c72,LS",L4832,
Mg,1,795.339,795.345,0.010,3,1.45e+05,D,47851.162,60420.87,3s.4p,3P*,2,3s.11s,3S,1,,"T6298c72,LS",L4832,
